Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;TempRet;Hall2Offset;Hall2Radiation;cp;mflow;deltaT;Qflow
0;2547.436042;0.000194503;0.172862045;0.655349994;310.3641343;303.7894346;13.06410256;297.6425926;4.18;0.194503334;6.574699727;-5345.38825
10800;2547.39576;0.000198135;0.175199749;0.655336245;311.5781271;304.455371;12.82348754;297.6902847;4.18;0.198135058;7.122756085;-5899.098957
21600;2547.399718;0.000194484;0.182710057;0.65532264;312.4612288;305.0737993;12.85957447;297.8185106;4.18;0.194483675;7.387429496;-6005.549956
32400;2547.444209;0.000194503;0.17458972;0.655289881;312.7976695;305.5481643;12.98152097;298.2576759;4.18;0.194503292;7.249505245;-5894.020028
43200;2547.359065;0.000193992;0.174112212;0.65529707;312.4575071;305.6570824;13.80071174;298.6374021;4.18;0.19399197;6.800424705;-5514.372155
54000;2547.383475;0.000195406;0.17117069;0.655289666;311.8674436;305.3758476;13.83059328;298.6595783;4.18;0.195405678;6.491595961;-5302.30789
64800;2547.432509;0.000194523;0.178525542;0.655311766;311.9704241;304.9748054;13.27142857;298.1583571;4.18;0.194522965;6.995618669;-5688.179467
75600;2547.315417;0.000194464;0.182497928;0.655311074;312.6921499;305.2116688;13.25907473;297.9519217;4.18;0.194464086;7.480481095;-6080.58296
86400;2547.362801;0.000194719;0.183318667;0.655324959;313.0637199;305.5324613;13.76961484;298.0691869;4.18;0.194719469;7.531258595;-6129.89757
97200;2547.363988;0.00019423;0.17913508;0.655320889;312.7915766;305.5619785;13.5921875;298.2046094;4.18;0.194229775;7.229598073;-5869.569414
108000;2547.364425;0.000194444;0.176856394;0.655312289;312.1384309;305.3242586;13.59431901;298.3599053;4.18;0.194444441;6.814172302;-5538.407727
118800;2547.40896;0.000194766;0.154798092;0.655307759;309.9109827;304.7734826;13.99781341;299.1469388;4.18;0.194765572;5.137500095;-4182.542035
129600;2547.432511;0.000194586;0.148271075;0.655292518;307.423077;303.5679246;13.73279649;299.4298098;4.18;0.194585547;3.855152378;-3135.655992
140400;2547.376539;0.000194344;0.138245274;0.655298276;306.088016;302.5678856;13.76889535;299.2114826;4.18;0.19434387;3.520130354;-2859.603858
151200;2547.296296;0.000197248;0.138528399;0.655317778;305.4269062;301.9543574;13.88677867;298.7513879;4.18;0.197248444;3.472548847;-2863.111302
162000;2547.341287;0.000195629;0.142273912;0.655335431;305.6474692;301.5856469;13.38965768;298.2078296;4.18;0.195629466;4.061822269;-3321.478667
172800;2547.497466;0.000195812;0.151136524;0.655342694;307.0670891;302.1098842;13.78993435;297.9149891;4.18;0.19581221;4.957204846;-4057.447576
183600;2547.352429;0.000194888;0.158844012;0.655355621;308.5259245;302.8294779;13.54412837;297.7955872;4.18;0.194887597;5.696446623;-4640.497187
194400;2547.330441;0.000194545;0.159312464;0.655341279;308.9801519;303.3787781;13.83091437;298.0982583;4.18;0.194544867;5.601373787;-4555.023406
205200;2547.398551;0.000194605;0.14535277;0.655303031;307.7807972;303.585942;14.01892285;299.3466521;4.18;0.194605472;4.194855213;-3412.308631
216000;2547.370746;0.000194706;0.128499417;0.655270516;305.5310283;302.697936;14.64488017;299.8229121;4.18;0.194705926;2.833092239;-2305.770969
226800;2547.346349;0.000194826;0.123820288;0.655288312;303.4215628;301.291389;14.30589949;299.4372542;4.18;0.194826059;2.130173749;-1734.755833
237600;2547.346628;0.000202401;0.124276766;0.655322094;301.9246192;300.112219;14.83770015;298.9395197;4.18;0.202401094;1.812400186;-1533.356845
248400;2547.306078;0.000205962;0.121167033;0.655343269;301.646816;299.5856003;14.62264151;298.4029753;4.18;0.205961569;2.061215713;-1774.540507
259200;2547.409551;0.000204434;0.132049279;0.655346312;302.1471759;299.6361794;14.2943314;298.1178052;4.18;0.204433992;2.510996538;-2145.732129
270000;2547.417511;0.000197459;0.135952751;0.655355028;303.0667871;300.0808248;14.27927273;297.9340727;4.18;0.197459396;2.985962258;-2464.554351
280800;2547.3874;0.00019891;0.133349128;0.655354848;303.4937365;300.3272631;13.56790123;297.5771605;4.18;0.198909805;3.166473396;-2632.742098
291600;2547.410442;0.000199762;0.128458944;0.655363671;303.0240391;300.145794;13.61309091;297.5851273;4.18;0.199762306;2.878245096;-2403.353183
