Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;Temp Ret;cp;mflow kg/s;deltaT;Qflow W
0;2547.420541;0.00019552;0.161121417;0.655325475;308.7240322;303.2577782;4.18;0.195519805;5.466253997;-4467.420633
43200;2547.418933;0.000195406;0.176341209;0.655324684;311.8005828;304.7169022;4.18;0.195406018;7.083680602;-5785.930151
86400;2547.372636;0.000194597;0.176575118;0.655302393;312.2466237;305.3046933;4.18;0.194596662;6.941930396;-5646.66369
129600;2547.37516;0.000194546;0.173487916;0.655316447;311.9687032;305.2949863;4.18;0.194545913;6.673716892;-5427.079353
172800;2547.36166;0.000195451;0.141828717;0.655311015;306.1460138;302.4183638;4.18;0.195451065;3.727649929;-3045.43576
216000;2547.394713;0.000194962;0.153663117;0.655335657;308.0887109;302.976109;4.18;0.194962477;5.112601834;-4166.479862
259200;2547.342443;0.000199472;0.124439526;0.655306045;303.1312273;300.9219042;4.18;0.199472094;2.20932304;-1842.118869
302400;2547.406227;0.000200142;0.132454532;0.655354962;302.9329259;300.0474113;4.18;0.200141804;2.885514582;-2414.000547
345600;2547.410275;0.000199233;0.126561361;0.655375144;301.4448978;298.9928623;4.18;0.199233194;2.452035478;-2042.04228
388800;2547.385743;0.000195786;0.147467236;0.655346328;306.0693052;301.4786231;4.18;0.195786339;4.590682088;-3756.954066
432000;2547.389975;0.000195882;0.120826396;0.655316888;302.5915671;300.358831;4.18;0.19588209;2.232736097;-1828.135593
475200;2547.383738;0.000196919;0.144974636;0.655351124;304.6858385;300.6505252;4.18;0.19691939;4.035313278;-3321.559381
518400;2547.408104;0.000194776;0.145128267;0.65536758;305.2685601;301.1867042;4.18;0.194776086;4.081855849;-3323.300249
561600;2547.36786;0.000194369;0.177630358;0.655390292;310.7171005;303.4641722;4.18;0.194369122;7.252928337;-5892.735402
604800;2547.414255;0.00019451;0.167545234;0.655423871;309.3938574;302.9358694;4.18;0.194509777;6.457988046;-5250.672785
648000;2547.368735;0.000194686;0.161114718;0.655371347;308.2373892;302.467695;4.18;0.194685681;5.769694261;-4695.297263
691200;2547.357298;0.00019452;0.17264694;0.655330183;311.1398008;304.3586232;4.18;0.194519924;6.781177606;-5513.729966
734400;2547.366202;0.000195208;0.195218738;0.655331537;314.3661932;305.9232222;4.18;0.195208368;8.442970977;-6889.219284
777600;2547.421776;0.000194505;0.201509259;0.655325058;313.8821454;305.4155633;4.18;0.194504729;8.46658213;-6883.583311
820800;2547.391085;0.00019462;0.197550912;0.655326478;315.348574;306.3160289;4.18;0.194619901;9.032545173;-7348.076535
864000;2547.403357;0.00019457;0.194469752;0.655307423;313.9466787;305.7130325;4.18;0.194569792;8.233646225;-6696.43873
907200;2547.374865;0.00019469;0.215431746;0.655320666;317.981093;307.5584718;4.18;0.194690262;10.42262122;-8481.984351
950400;2547.412859;0.00019457;0.208701148;0.655276718;318.7169377;308.7207731;4.18;0.19456986;9.996164586;-8129.900802
993600;2547.396387;0.000194465;0.235818459;0.655280386;321.5646368;309.8066498;4.18;0.194464515;11.75798699;-9557.616993
1036800;2547.377617;0.000194755;0.2198021;0.6552629;319.511076;309.3099817;4.18;0.194755312;10.20109424;-8304.47826
1080000;2547.374277;0.000195478;0.224661534;0.655308509;319.9235586;309.1485907;4.18;0.19547808;10.77496792;-8804.208762
1123200;2547.355439;0.000195654;0.21575973;0.655281124;318.3922555;308.5550956;4.18;0.195654135;9.837159943;-8045.166663
1166400;2546.024759;0.000194571;0.209254872;0.655058595;317.1906774;308.0364711;4.18;0.194570865;9.154206231;-7445.172818
1209600;2547.416873;0.000194533;0.188035333;0.655299244;312.0007782;305.067368;4.18;0.194532874;6.933410214;-5637.88459
1252800;2547.338295;0.000195508;0.193907949;0.655310165;314.4463134;306.2271221;4.18;0.195507706;8.219191321;-6716.905691
1296000;2547.411607;0.000195079;0.173397529;0.655288021;311.7022772;305.1857142;4.18;0.195079362;6.516563028;-5313.812283
1339200;2547.414958;0.000196262;0.180806594;0.655324343;311.979261;304.7578678;4.18;0.196261588;7.221393176;-5924.239134
1382400;2547.363926;0.000195212;0.19342131;0.655334918;313.8496634;305.3860026;4.18;0.195212218;8.4636608;-6906.237801
1425600;2547.414534;0.000197081;0.212601989;0.655302788;317.4446489;307.4156949;4.18;0.197080542;10.02895399;-8261.818835
1468800;2547.385095;0.000194707;0.200445457;0.655328058;315.2409253;306.1635674;4.18;0.194706916;9.077357953;-7387.833884
1512000;2547.377707;0.000197442;0.216529717;0.655323797;317.3154952;307.2192935;4.18;0.197442115;10.09620177;-8332.476487
1555200;2547.383348;0.000195094;0.192319577;0.655321847;314.7266165;306.1252879;4.18;0.195093984;8.601328553;-7014.32195
1598400;2547.374136;0.000196393;0.22775023;0.655315618;319.5518607;308.2961279;4.18;0.196393069;11.25573282;-9240.090261
1641600;2547.373095;0.000194686;0.183102741;0.655264664;313.668206;306.1693726;4.18;0.19468573;7.498833457;-6102.448325
1684800;2547.355394;0.000196643;0.224065373;0.655280978;319.1161107;308.1227466;4.18;0.196642612;10.99336412;-9036.172835
1728000;2547.372204;0.000194464;0.198482776;0.65525508;315.8866299;307.315134;4.18;0.194464166;8.571495957;-6967.428044
1771200;2547.413402;0.000197877;0.126260023;0.655315792;308.6824761;302.9476055;4.18;0.197876655;5.734870584;-4743.45149
1814400;2547.363508;0.000202273;0.114804319;0.655362244;306.0028348;299.5796064;4.18;0.202273397;6.423228377;-5430.85757
1857600;2547.362684;0.000194464;0.212323321;0.655274795;317.7417614;307.6774503;4.18;0.19446417;10.06431108;-8180.878214
1900800;2547.397422;0.000194421;0.20051566;0.655284346;314.7159903;305.4070072;4.18;0.19442096;9.308983073;-7565.220777
1944000;2547.373503;0.000194231;0.202370679;0.655270241;315.5210792;306.2401751;4.18;0.194231483;9.280904075;-7535.050913
1987200;2547.386644;0.000194455;0.207088135;0.655255989;317.0290243;307.3488426;4.18;0.194454981;9.680181658;-7868.262881
2030400;2547.376975;0.000195983;0.213976496;0.655251066;317.418859;307.5162187;4.18;0.195982888;9.9026403;-8112.326808
2073600;2547.429781;0.000195195;0.208625892;0.65525831;316.878959;307.2820527;4.18;0.195194731;9.596906342;-7830.250016
2116800;2547.377746;0.000197214;0.217630422;0.65525957;318.5988509;308.0492912;4.18;0.197214065;10.54955966;-8696.580077
2160000;2547.39975;0.000195792;0.217621564;0.655248457;319.2023827;308.5442195;4.18;0.195792204;10.65816314;-8722.762348
2203200;2547.409982;0.000203194;0.242977532;0.655233792;322.2435081;310.1192514;4.18;0.2031937;12.12425675;-10297.73344
2246400;2547.36171;0.000211985;0.284416067;0.655235584;326.7545811;312.4143213;4.18;0.21198492;14.34025985;-12706.86071
2289600;2547.42768;0.000215845;0.295010333;0.655222921;328.0991879;313.4243265;4.18;0.215845128;14.67486145;-13240.13891
2332800;2547.427273;0.000204823;0.268790049;0.655222587;324.9897431;312.1636615;4.18;0.204822736;12.82608162;-10981.1657
2376000;2547.400392;0.000211446;0.268513156;0.65522711;323.7141113;311.0996346;4.18;0.211445891;12.61447668;-11149.22732
2419200;2547.417067;0.000199002;0.247753296;0.655240449;322.4062489;310.3715466;4.18;0.199002467;12.03470228;-10010.83015
2462400;2547.387493;0.000207534;0.254727577;0.655237826;322.9483782;310.5450642;4.18;0.207534097;12.40331405;-10759.78224
2505600;2545.997136;0.000211262;0.234607244;0.655082352;321.7594052;310.3166132;4.18;0.211262283;11.44279209;-10104.85902
2548800;2547.397206;0.000200748;0.234821998;0.655223942;321.1736474;309.925891;4.18;0.200748302;11.24775637;-9438.306186
2592000;2547.386556;0.000201304;0.228242579;0.655267544;319.0489179;308.1719399;4.18;0.201303771;10.87697799;-9152.430567
2635200;2547.377943;0.000208052;0.239807321;0.655269122;321.1067754;309.497827;4.18;0.208051632;11.60894841;-10095.78956
2678400;2547.369664;0.000198421;0.213799361;0.655292634;317.1174478;307.1525069;4.18;0.198420625;9.964940857;-8264.904149
2721600;2547.436797;0.000203914;0.231444502;0.655276995;319.5927455;308.4604862;4.18;0.203913779;11.13225932;-9488.688069
2764800;2547.370023;0.000197256;0.221802705;0.655266348;318.5222656;307.9717874;4.18;0.197255547;10.5504783;-8699.166744
2808000;2547.364989;0.000210115;0.229530742;0.655291702;321.936995;309.5792877;4.18;0.21011497;12.35770735;-10853.53432
2851200;2547.40085;0.000208373;0.235994823;0.655272755;321.011898;309.564731;4.18;0.208372679;11.44716702;-9970.457255
2894400;2547.444759;0.000211324;0.258778498;0.655267838;322.353541;310.0470255;4.18;0.211323576;12.30651551;-10870.74572
2937600;2547.335219;0.000208392;0.236622204;0.655235454;320.7316125;309.4681046;4.18;0.208392268;11.2635079;-9811.412848
2980800;2547.345609;0.000209238;0.246901078;0.655252817;320.9974505;309.4609064;4.18;0.209238275;11.53654403;-10090.04589
3024000;2547.392912;0.000202448;0.244932577;0.655254186;321.3271605;309.4540064;4.18;0.20244821;11.87315415;-10047.46098
3067200;2547.361702;0.000206856;0.300151456;0.655200483;322.1202128;309.8712762;4.18;0.206855792;12.24893659;-10591.13133
3110400;2547.402457;0.000208092;0.255885777;0.655232981;322.1460983;309.8711704;4.18;0.208092485;12.27492792;-10677.05869
3153600;2547.388728;0.00021034;0.221431012;0.655222838;323.7888006;310.8544076;4.18;0.210340399;12.93439306;-11372.21414
3196800;2547.410108;0.00021087;0.218067401;0.655234103;324.0263177;311.1066064;4.18;0.210870438;12.91971125;-11387.93
3240000;2547.264982;0.0002144;0.215968129;0.655237242;324.9814079;311.3754875;4.18;0.214400322;13.60592048;-12193.53542
3283200;2547.371841;0.000207742;0.169182203;0.655261701;325.4009026;311.4325271;4.18;0.207741677;13.96837547;-12129.58143
3326400;2547.475158;0.000216877;0.173331841;0.655240006;326.6954381;312.1408762;4.18;0.216877449;14.55456197;-13194.40519
