x,y
-0.001000,0.001000
51839.999000,299.448662
51840.001000,299.448662
103679.999495,298.278435
155519.999000,301.839806
207359.999000,303.621270
259199.999000,303.762444
311039.999000,306.978600
311040.001000,306.978600
362879.999833,304.988274
414719.999000,307.777001
466559.999000,308.918694
466560.001000,308.918694
518399.999277,308.489190
570239.999000,311.161919
570240.001000,311.161919
622080.000017,308.720910
673919.999000,311.080498
725759.999000,311.866326
725760.001000,311.866326
777599.999479,311.119225
829439.999000,313.489617
829440.001000,313.489617
881280.000119,310.797814
933119.999000,312.918664
984959.999000,313.506432
984960.001000,313.506432
1036799.999591,312.582665
1088639.999000,314.784783
1088640.001000,314.784783
1140480.000175,311.953484
1192319.999000,313.941430
1244159.999000,314.419030
1244160.001000,314.419030
1295999.999653,313.396935
1347839.999000,315.505456
1347840.001000,315.505456
1399680.000206,312.596520
1451519.999000,314.510552
1503359.999000,314.926842
1503360.001000,314.926842
1555199.999687,313.850030
1607039.999000,315.906457
1607040.001000,315.906457
1658880.000224,312.954308
1710719.999000,314.827202
1762559.999000,315.209374
1762560.001000,315.209374
1814399.999706,314.102135
1866239.999000,316.129571
1866240.001000,316.129571
1918080.000233,313.153405
1969919.999000,315.003411
2021759.999000,315.366601
2021760.001000,315.366601
2073599.999717,314.242425
2125439.999000,316.253716
2125440.001000,316.253716
2177280.000239,313.264153
2229119.999000,315.101433
2280959.999000,315.454064
2280960.001000,315.454064
2332799.999723,314.320489
2384639.999000,316.322808
2384640.001000,316.322808
2436480.000242,313.325799
2488319.999000,315.155999
2540159.999000,315.502740
2540160.001000,315.502740
2591999.999726,314.363915
2643839.999000,316.361260
2643840.001000,316.361260
2695680.000243,313.360100
2747519.999000,315.186364
2799359.999000,315.529839
2799360.001000,315.529839
2851199.999728,314.388085
2903039.999000,316.382622
2903040.001000,316.382622
2954880.000244,313.379174
3006719.999000,315.203240
3058559.999000,315.544915
3058560.001000,315.544915
3110399.999729,314.401513
3162239.999000,316.394524
3162240.001000,316.394524
3214080.000245,313.389794
3265919.999000,315.212639
3317759.999000,315.553277
3317760.001000,315.553277
3369599.999730,314.408990
3421439.999000,316.401146
3421440.001000,316.401146
3473280.000245,313.395714
3525119.999000,315.217858
3576959.999000,315.557946
3576960.001000,315.557946
3628799.999730,314.413170
3680639.999000,316.404839
3680640.001000,316.404839
3732480.000245,313.399010
3784319.999000,315.220788
3836159.999000,315.560540
3836160.001000,315.560540
3887999.999730,314.415490
3939839.999000,316.406884
3939840.001000,316.406884
3991680.000245,313.400841
4043519.999000,315.222405
4095359.999000,315.562005
4095360.001000,315.562005
4147199.999730,314.416772
4199039.999000,316.408043
4199040.001000,316.408043
4250880.000245,313.401848
4302719.999000,315.223290
4354559.999000,315.562798
4354560.001000,315.562798
4406399.999730,314.417504
4458239.999000,316.408654
4458240.001000,316.408654
4510080.000245,313.402428
4561919.999000,315.223809
4613759.999000,315.563256
4613760.001000,315.563256
4665599.999730,314.417901
4717439.999000,316.409020
4717440.001000,316.409020
4769280.000245,313.402733
4821119.999000,315.224083
4872959.999000,315.563500
4872960.001000,315.563500
4924799.999730,314.418114
4976639.999000,316.409203
4976640.001000,316.409203
5028480.000245,313.402917
5080319.999000,315.224236
5132159.999000,315.563622
5132160.001000,315.563622
5184000.001000,314.418236
