x,y
-0.001000,0.001000
4.544455,0.001000
5.453545,0.016905
6.362636,0.048692
7.271727,0.080416
8.180818,0.112033
9.089909,0.143501
9.999000,0.174780
10.908091,0.205800
11.817182,0.236543
12.726273,0.266975
13.635364,0.297061
14.544455,0.326769
15.453545,0.356069
16.362636,0.384935
17.271727,0.413340
18.180818,0.441262
19.089909,0.468680
19.999000,0.495577
20.908091,0.521875
21.817182,0.547620
22.726273,0.572802
23.635364,0.597412
24.544455,0.621445
25.453545,0.644897
26.362636,0.667765
27.271727,0.690050
28.180818,0.711751
29.089909,0.732873
29.999000,0.753419
30.908091,0.773331
31.817182,0.792680
32.726273,0.811475
33.635364,0.829724
34.544455,0.847436
35.453545,0.864621
36.362636,0.881289
37.271727,0.897452
38.180818,0.913120
39.089909,0.928306
39.999000,0.943020
40.908091,0.957227
41.817182,0.970989
42.726273,0.984320
43.635364,0.997231
44.544455,1.009760
45.453545,1.021862
46.362636,1.033597
47.271727,1.044960
48.180818,1.055961
49.089909,1.066612
49.999000,1.076924
50.908091,1.086873
51.817182,1.096508
52.726273,1.105837
53.635364,1.114872
54.544455,1.123622
55.453545,1.127935
60.001000,1.127935
