x,y
-0.001000,303.453144
0.001000,303.453144
8.001000,303.451769
16.001000,303.448409
24.001000,303.443918
32.001000,303.438756
40.001000,303.433196
48.001000,303.427392
56.001000,303.421466
64.001000,303.415478
72.001000,303.409430
104.001000,303.385113
112.001000,303.379004
152.001000,303.348608
160.001000,303.342560
168.001000,303.336481
176.001000,303.330432
184.000177,303.324445
191.999000,303.328630
199.999000,303.342590
207.999000,303.364921
215.999000,303.380928
223.999000,303.392567
231.999000,303.407016
239.999000,303.432646
247.999000,303.481737
255.999000,303.573748
263.999000,303.736997
271.999000,304.006492
279.999000,304.417364
287.999000,304.995945
295.999000,305.752346
303.999000,306.677282
311.999000,307.744265
319.999000,308.915541
327.999000,310.148981
335.999000,311.404141
343.999000,312.646135
351.999000,313.847164
359.999000,314.986761
367.999000,316.050934
375.999000,317.031161
383.999000,317.923196
391.999000,318.726245
399.999000,319.441895
407.999000,320.073660
415.999000,320.626367
423.999000,321.105728
431.999000,321.518035
439.999000,321.869827
447.999000,322.167671
455.999000,322.417921
463.999000,322.626534
471.999000,322.799222
479.999000,322.941118
487.999000,323.056896
495.999000,323.150709
503.999000,323.226163
511.999000,323.286495
519.999000,323.334333
527.999000,323.372060
535.999000,323.401600
543.999000,323.424572
551.999000,323.442321
559.999000,323.455884
567.999000,323.466240
575.999000,323.474030
583.999000,323.479864
591.999000,323.484172
599.999000,323.487318
607.999000,323.489609
615.999000,323.491198
623.999000,323.492328
631.999000,323.493061
639.999000,323.493519
647.999000,323.493794
655.999000,323.493917
663.999000,323.493947
664.001000,323.493947
672.001000,323.493886
680.001000,323.493794
696.001000,323.493489
712.001000,323.493122
728.001000,323.492817
736.001000,323.492695
752.001000,323.492511
768.001000,323.492389
800.001000,323.492267
