x,y
-0.001000,0.000000
863.999000,-0.001000
7776.001000,-0.001000
8640.001000,934539.712312
9504.001000,1020604.249125
10368.001000,1118749.205925
11232.001000,1224040.983750
12096.001000,1336251.710700
12960.001000,1462149.137250
13824.001000,1589736.172500
14688.001000,1645549.103700
15552.001000,1687771.164375
16416.001000,1727196.649425
17280.001000,1765789.567875
18144.001000,1799800.772625
19008.001000,1832542.148475
19872.001000,1861982.528625
20736.001000,1888118.341650
21600.001000,1912193.142750
22464.001000,1931899.167000
23328.001000,1949190.333525
24192.001000,1962922.862250
25056.001000,1973173.950900
25920.001000,1980344.423250
26784.001000,1983796.342875
27647.999079,1983933.080696
28511.999000,1980611.156250
29375.999000,1973980.993050
30239.999000,1963561.473000
31103.999000,1950445.851750
31967.999000,1933448.291325
32831.999000,1913438.271375
33695.999000,1890623.309175
34559.999000,1863690.069375
35423.999000,1835349.063750
36287.999000,1802946.698550
37151.999000,1768275.454500
38015.999000,1731578.663025
38879.999000,1690842.090375
39743.999000,1650120.228000
40607.999000,1605557.410425
41471.999000,1559688.500250
42335.999000,1512768.192525
43199.999000,1462280.880375
44063.999000,1413221.488875
44927.999000,708263.028000
45791.999000,696024.154125
46655.999000,682609.020188
47519.999000,667263.506062
48383.999000,651522.762562
49247.999000,633904.236225
50111.999000,615394.864125
50975.999000,596111.204587
51839.999000,575005.044375
52703.999000,554170.587187
53567.999000,520423.617938
54431.999000,469661.836781
55295.999000,420556.591181
56159.999000,370584.076219
57023.999000,324633.635156
57887.999000,278270.432269
58751.999000,234276.051937
59615.999000,192751.733447
60479.999000,151605.773719
61343.999000,114841.840078
62207.999000,78887.692716
63071.999000,45946.472379
63935.999000,16045.477914
64799.999000,-0.001000
86400.001000,-0.001000
