x,y
-0.001000,-0.001000
4.546455,-0.001000
5.455545,0.003681
6.364636,0.013255
7.273727,0.023303
8.182818,0.033816
9.091909,0.044781
10.001000,0.056188
10.910091,0.068072
11.819182,0.080374
12.728273,0.093083
13.637364,0.106188
14.546455,0.119679
15.455545,0.133544
16.364636,0.147774
17.273727,0.162358
18.182818,0.177285
19.091909,0.192546
20.001000,0.208129
20.910091,0.224059
21.819182,0.240290
22.728273,0.256811
23.637364,0.273613
24.546455,0.290686
25.455545,0.308021
26.364636,0.325609
27.273727,0.343440
28.182818,0.361506
29.091909,0.379796
30.001000,0.398304
30.910091,0.417041
31.819182,0.435977
32.728273,0.455102
33.637364,0.474409
34.546455,0.493890
35.455545,0.513538
36.364636,0.533346
37.273727,0.553306
38.182818,0.573412
39.091909,0.593658
40.001000,0.614036
40.910091,0.634555
41.819182,0.655195
42.728273,0.675949
43.637364,0.696814
44.546455,0.717779
45.455545,0.738855
46.364636,0.760024
47.273727,0.781287
48.182818,0.802640
49.091909,0.824082
50.001000,0.845608
50.910091,0.867228
51.819182,0.888929
52.728273,0.910711
53.637364,0.932574
54.546455,0.954517
55.455545,0.965506
60.001000,0.965506
