x,y
-0.001000,0.001000
1.799000,3.370066
3.599000,5.690881
5.399000,6.239874
5.401000,6.239874
7.201000,4.846119
9.001000,1.943553
10.801000,-1.561002
12.601000,-4.575664
14.400657,-6.165418
16.199000,-5.836117
17.999000,-3.689470
19.799000,-0.393523
21.599000,3.029974
23.399000,5.511504
25.199000,6.277058
25.201000,6.277058
27.001000,5.088287
28.801000,2.315306
30.601000,-1.176173
32.401000,-4.296833
34.200884,-6.079586
35.999000,-5.969688
37.799000,-4.001047
39.599000,-0.786489
41.399000,2.677923
43.199000,5.310373
44.999000,6.289469
45.001000,6.289469
46.801000,5.310373
48.601000,2.677923
50.401000,-0.786489
52.201000,-4.001047
54.001000,-5.969688
55.799116,-6.079586
57.599000,-4.296833
59.399000,-1.176177
61.199000,2.315306
62.999000,5.088287
64.799000,6.277057
64.801000,6.277057
66.601000,5.511502
68.401000,3.029977
70.201000,-0.393530
72.001000,-3.689470
73.801000,-5.836114
75.599343,-6.165417
77.399000,-4.575667
79.199000,-1.560996
80.999000,1.943553
82.799000,4.846115
84.599000,6.239875
84.601000,6.239875
86.401000,5.690882
88.201000,3.370061
91.801000,-3.363327
93.601000,-5.679512
95.399565,-6.226971
97.199000,-4.836432
98.999000,-1.939669
100.799000,1.564121
102.599000,4.584827
104.399000,6.178064
104.401000,6.178064
106.201000,5.847798
108.001000,3.696857
109.801000,0.395530
111.601000,-3.023923
113.401000,-5.500490
115.199783,-6.263999
116.999000,-5.078121
118.799000,-2.310687
120.599000,1.178532
122.399000,4.305435
124.199000,6.091874
124.201000,6.091874
126.001000,5.981640
127.801000,4.009063
129.601000,0.788504
131.401000,-2.672586
133.201000,-5.299767
135.000000,-6.276359
136.799000,-5.299767
138.599000,-2.672586
140.399000,0.788504
142.199000,4.009063
143.999000,5.981640
145.799000,6.091874
145.801000,6.091874
147.601000,4.305446
149.401000,1.178517
151.201000,-2.310687
153.001000,-5.078121
154.800217,-6.263999
156.599000,-5.500497
158.399000,-3.023910
160.199000,0.395530
161.999000,3.696857
163.799000,5.847798
165.599000,6.178067
165.601000,6.178067
167.401000,4.584817
169.201000,1.564121
171.001000,-1.939669
172.801000,-4.836432
174.600435,-6.226969
176.399000,-5.679505
178.199000,-3.363327
179.999000,0.001000
180.001000,0.001000
