x,y
-0.001000,-0.001000
19.801000,-0.001000
21.601000,0.799000
23.401000,1.698300
25.201000,2.597400
27.001000,3.496500
28.801000,4.395600
30.599500,4.695050
32.399000,3.796201
34.199000,2.897100
35.999000,1.998000
37.799000,1.098900
39.599000,0.198999
39.601000,0.198999
41.401000,1.398598
43.201000,3.196799
45.001000,4.995000
46.801000,6.793201
48.601000,8.591402
50.399714,9.589688
52.199000,7.792201
53.999000,5.994000
55.799000,4.195799
57.599000,2.397599
59.399000,0.599002
59.401000,0.599002
61.201000,2.397599
63.001000,5.994000
64.801000,9.590394
66.601000,13.186803
68.401000,16.783196
70.199875,19.578646
73.799000,12.387606
75.599000,8.791197
77.399000,5.194803
79.199000,1.598394
80.999000,-0.001000
99.001000,-0.001000
100.801000,1.598394
102.601000,5.194803
104.401000,8.791197
106.201000,12.387606
109.800125,19.578646
111.599000,16.783196
113.399000,13.186803
115.199000,9.590394
116.999000,5.994000
118.799000,2.397606
120.599000,0.599002
120.601000,0.599002
122.401000,2.397599
124.201000,4.195803
129.600286,9.589681
131.399000,8.591394
134.999000,4.995000
136.799000,3.196803
138.599000,1.398606
140.399000,0.199003
140.401000,0.199003
142.201000,1.098902
144.001000,1.998000
145.801000,2.897099
147.601000,3.796197
149.400500,4.695053
151.199000,4.395599
154.799000,2.597401
156.599000,1.698303
158.399000,0.798997
160.199000,-0.001000
180.001000,-0.001000
