x,y
-0.001000,322.826844
863.999000,308.720664
1727.999000,303.956359
2591.999000,302.213231
2592.001000,302.213231
3456.001000,302.485969
4320.001000,303.693988
5184.001000,305.214195
6048.001000,306.730956
6912.001000,308.102844
7776.001000,309.278973
8640.001000,310.254133
9504.001000,311.043351
10368.001000,311.668122
11232.001000,312.150885
12096.001000,312.509230
12960.001000,312.760321
13824.001000,312.930317
14688.001000,313.048698
15552.001000,313.141135
16416.001000,313.219213
17280.001000,313.280827
18144.001000,313.317442
19007.999516,313.323234
19871.999000,313.306558
20735.999000,313.278236
21599.999000,313.245462
22463.999000,313.212597
23327.999000,313.182018
24191.999000,313.154915
25055.999000,313.131654
25919.999000,313.112965
26783.999000,313.105191
26784.001000,313.105191
27648.001000,313.111380
28511.999046,313.125556
29375.999000,312.518376
30239.999000,302.500115
31103.999000,301.303741
31104.001000,301.303741
31968.001000,302.278626
32832.001000,303.348722
33696.001000,304.400556
34560.001000,305.330899
35424.001000,306.084753
36288.001000,306.639373
37152.001000,306.998450
38016.001000,307.191402
38880.000183,307.252011
39743.999000,307.210122
40607.999000,307.090704
41471.999000,306.914184
42335.999000,306.696658
43199.999000,306.450719
44063.999000,302.893337
44927.999000,299.771888
45791.999000,296.435781
46655.999000,294.091356
47519.999000,292.433287
48383.999000,291.304839
49247.999000,290.590466
49248.001000,290.590466
50112.001000,292.105216
50976.001000,293.350704
51839.999170,293.504175
52703.999000,291.851503
52704.001000,291.851503
53568.001000,293.440122
54432.001000,301.753883
55296.001000,305.450561
56159.999476,307.216002
57023.999000,301.570747
57887.999000,297.257346
57888.001000,297.257346
58752.001000,301.385691
59616.001000,303.277565
60480.001000,304.266962
61344.001000,304.751462
62208.001000,305.048589
63072.001000,305.218036
63936.001000,305.294559
64799.999035,305.309192
65663.999000,304.496316
66527.999000,304.027059
66528.001000,304.027059
67392.001000,304.145257
68256.001000,304.603173
69120.001000,305.204835
69984.001000,305.848691
70848.001000,306.471176
71712.001000,307.012962
72576.001000,307.426092
73440.001000,307.693982
74304.001000,307.842667
75168.001000,307.917604
76032.001000,307.965682
76896.001000,308.019888
77760.001000,308.084704
78624.001000,308.143818
79488.000509,308.175128
80351.999000,308.164946
81215.999000,308.122233
82079.999000,308.066777
82943.999000,308.018791
83807.999000,307.994401
83808.001000,307.994401
84672.001000,307.999828
85536.001000,308.027144
86400.001000,308.061015
