x,y
-0.001000,292.856844
315359.999000,292.049996
630719.999000,288.164562
630720.001000,288.164562
946080.001000,288.688974
1261439.999776,289.501179
1576799.999000,288.220707
1892159.999000,287.979136
1892160.001000,287.979136
2207519.999831,288.282443
2522879.999000,287.855669
2522880.001000,287.855669
2838240.001000,288.917061
3153599.999845,289.594881
3468959.999000,288.668674
3468960.001000,288.668674
3784320.001000,289.268039
4099680.000404,290.525728
4415039.999000,289.992228
4415040.001000,289.992228
4730400.001000,290.187062
5045760.000266,291.456633
5361119.999000,290.720531
5361120.001000,290.720531
5676479.999945,293.110285
5991839.999000,290.440463
5991840.001000,290.440463
6307200.000736,291.937659
6622559.999000,291.709897
6937919.999000,291.132940
7253279.999000,289.853533
7253280.001000,289.853533
7568640.000402,292.441414
7883999.999000,291.336851
7884000.001000,291.336851
8199360.000219,292.202284
8514719.999000,291.648093
8830079.999000,291.557951
8830080.001000,291.557951
9145440.001000,291.621425
9460799.999958,292.891904
9776159.999000,291.508919
9776160.001000,291.508919
10091520.001000,292.284005
10406880.000096,293.689878
10722239.999000,292.529696
10722240.001000,292.529696
11037600.001000,292.535266
11352959.999790,292.671670
11668319.999000,292.462692
11668320.001000,292.462692
11983679.999699,292.799619
12299039.999000,292.172170
12299040.001000,292.172170
12614400.001000,292.492402
12929760.000057,294.179641
13245119.999000,292.674336
13245120.001000,292.674336
13560480.000612,293.395969
13875839.999000,293.222413
14191199.999000,292.645050
14506559.999000,291.621386
14506560.001000,291.621386
14821919.999938,292.241047
15137279.999000,291.539631
15137280.001000,291.539631
15452640.001000,292.501318
15768000.000392,293.141532
16083359.999000,292.861743
16083360.001000,292.861743
16398720.001000,293.195434
16714079.999975,294.975593
17029439.999000,293.104178
17029440.001000,293.104178
17344800.001000,293.669690
17660159.999810,294.348561
17975519.999000,293.351582
17975520.001000,293.351582
18290880.001000,293.824884
18606239.999659,293.908592
18921599.999000,293.738316
18921600.001000,293.738316
19236959.999927,294.474708
19552319.999000,293.623079
19867679.999000,293.522838
19867680.001000,293.522838
20183039.999875,295.318658
20498399.999000,293.011993
20498400.001000,293.011993
20813760.001000,293.191518
21129120.000609,293.754787
21444479.999000,293.617797
21444480.001000,293.617797
21759840.001000,293.731548
22075200.000114,294.594789
22390559.999000,293.908027
22390560.001000,293.908027
22705920.001000,294.569743
23021279.999786,295.643087
23336639.999000,293.983729
23651999.999000,293.626459
23652000.001000,293.626459
23967359.999953,295.419635
24282719.999000,293.450916
24282720.001000,293.450916
24598079.999946,294.314635
24913439.999000,293.352022
24913440.001000,293.352022
25228800.001000,293.547132
25544159.999673,294.585909
25859519.999000,292.539424
26174879.999000,291.990751
26174880.001000,291.990751
26490239.999275,292.268113
26805599.999000,290.527114
27120959.999000,290.132623
27120960.001000,290.132623
27436319.999999,291.063795
27751679.999000,290.130646
27751680.001000,290.130646
28067040.000456,291.308345
28382399.999000,290.868021
28697759.999000,290.564627
29013119.999000,289.805303
29013120.001000,289.805303
29328479.999681,290.926789
29643839.999000,288.756461
29643840.001000,288.756461
29959200.001000,289.490585
30274559.999679,290.106993
30589919.999000,288.906753
30589920.001000,288.906753
30905280.000597,289.478337
31220639.999000,289.333924
31535999.999000,288.669385
31536000.001000,288.669385
