x,y
0.000000,293.149994
8640.000000,293.149628
17280.000000,293.148798
25920.000000,293.144531
34560.000000,293.151288
43200.000000,293.148468
51840.000000,293.153088
60480.000000,293.146411
69120.000000,293.147968
77760.000000,293.150446
86400.000000,293.149994
95040.000000,293.150189
103680.000000,293.150684
112320.000000,293.154176
120960.000000,293.209927
129600.000000,293.323883
138240.000000,293.753049
146880.000000,293.149353
155520.000000,293.147589
164160.000000,293.149805
172800.000000,293.149933
181440.000000,293.150220
190080.000000,293.149805
198720.000000,293.143768
207360.000000,293.562109
216000.000000,293.505157
224640.000000,294.178734
233280.000000,293.421857
241920.000000,293.148090
250560.000000,293.149713
259200.000000,293.149963
267840.000000,293.150104
276480.000000,293.149591
285120.000000,293.164162
293760.000000,293.148450
302400.000000,293.308838
311040.000000,293.591509
319680.000000,293.207829
328320.000000,293.147443
336960.000000,293.149866
345600.000000,293.149841
354240.000000,293.149438
362880.000000,293.149866
371520.000000,293.172373
380160.000000,293.150354
388800.000000,293.322540
397440.000000,293.895416
406080.000000,293.287848
414720.000000,293.147424
423360.000000,293.149927
432000.000000,293.149780
440640.000000,293.149841
449280.000000,293.149774
457920.000000,293.169487
466560.000000,293.192603
475200.000000,293.149841
483840.000000,293.629053
492480.000000,293.149423
501120.000000,293.147424
509760.000000,293.149860
518400.000000,293.149902
527040.000000,293.149408
535680.000000,293.149933
544320.000000,293.157865
552960.000000,293.192275
561600.000000,293.147888
570240.000000,293.409037
578880.000000,293.149024
587520.000000,293.147400
596160.000000,293.149884
604800.000000,293.149811
613440.000000,293.149872
622080.000000,293.149805
630720.000000,293.134483
639360.000000,293.195221
648000.000000,293.389435
656640.000000,293.989014
665280.000000,293.317957
673920.000000,293.147278
682560.000000,293.149921
691200.000000,293.149780
699840.000000,293.149652
708480.000000,293.149915
717120.000000,293.164441
725760.000000,293.255823
734400.000000,293.400543
743040.000000,293.752971
751680.000000,293.272870
760320.000000,293.147369
768960.000000,293.149750
777600.000000,293.149841
786240.000000,293.149744
794880.000000,293.149841
803520.000000,293.172872
812160.000000,293.214130
820800.000000,293.280884
829440.000000,293.695847
838080.000000,293.231082
846720.000000,293.147339
855360.000000,293.149811
864000.000000,293.149841
