x,y
-0.001000,292.856844
315359.999000,292.059702
630719.999000,288.167864
630720.001000,288.167864
946080.001000,288.695559
1261439.999777,289.509589
1576799.999000,288.227109
1892159.999000,287.984959
1892160.001000,287.984959
2207519.999832,288.288874
2522879.999000,287.862163
2522880.001000,287.862163
2838240.001000,288.924317
3153599.999845,289.603234
3468959.999000,288.676092
3468960.001000,288.676092
3784320.001000,289.274625
4099680.000404,290.533079
4415039.999000,289.999425
4415040.001000,289.999425
4730400.001000,290.194592
5045760.000265,291.467703
5361119.999000,290.727384
5361120.001000,290.727384
5676479.999945,293.120070
5991839.999000,290.447484
5991840.001000,290.447484
6307200.000735,291.944915
6622559.999000,291.716665
6937919.999000,291.139220
7253279.999000,289.860789
7253280.001000,289.860789
7568640.000401,292.452773
7883999.999000,291.344625
7884000.001000,291.344625
8199360.000219,292.211101
8514719.999000,291.655776
8830079.999000,291.566240
8830080.001000,291.566240
9145440.001000,291.629305
9460799.999958,292.901385
9776159.999000,291.516759
9776160.001000,291.516759
10091520.001000,292.292519
10406880.000095,293.703256
10722239.999000,292.538263
10722240.001000,292.538263
11037600.001000,292.543498
11352959.999789,292.679814
11668319.999000,292.470558
11668320.001000,292.470558
11983679.999699,292.807667
12299039.999000,292.179745
12299040.001000,292.179745
12614400.001000,292.500481
12929760.000057,294.194924
13245119.999000,292.682476
13245120.001000,292.682476
13560480.000611,293.404705
13875839.999000,293.230400
14191199.999000,292.653099
14506559.999000,291.628612
14506560.001000,291.628612
14821919.999938,292.249177
15137279.999000,291.547148
15137280.001000,291.547148
15452640.001000,292.509794
15768000.000392,293.149794
16083359.999000,292.870432
16083360.001000,292.870432
16398720.001000,293.202969
16714079.999975,294.988912
17029439.999000,293.111982
17029440.001000,293.111982
17344800.001000,293.678409
17660159.999811,294.361477
17975519.999000,293.360667
17975520.001000,293.360667
18290880.001000,293.834342
18606239.999652,293.917158
18921599.999000,293.745908
18921600.001000,293.745908
19236959.999927,294.482627
19552319.999000,293.630700
19867679.999000,293.530398
19867680.001000,293.530398
20183039.999876,295.330623
20498399.999000,293.019340
20498400.001000,293.019340
20813760.001000,293.199284
21129120.000610,293.762469
21444479.999000,293.625856
21444480.001000,293.625856
21759840.001000,293.738987
22075200.000114,294.602838
22390559.999000,293.915954
22390560.001000,293.915954
22705920.001000,294.578310
23021279.999786,295.655198
23336639.999000,293.992540
23651999.999000,293.634630
23652000.001000,293.634630
23967359.999953,295.433608
24282719.999000,293.458984
24282720.001000,293.458984
24598079.999946,294.324278
24913439.999000,293.360653
24913440.001000,293.360653
25228800.001000,293.555760
25544159.999674,294.599314
25859519.999000,292.547606
26174879.999000,291.998556
26174880.001000,291.998556
26490239.999275,292.276124
26805599.999000,290.534766
27120959.999000,290.140793
27120960.001000,290.140793
27436319.999998,291.071648
27751679.999000,290.137963
27751680.001000,290.137963
28067040.000455,291.316516
28382399.999000,290.875063
28697759.999000,290.573194
29013119.999000,289.812376
29013120.001000,289.812376
29328479.999682,290.937493
29643839.999000,288.763809
29643840.001000,288.763809
29959200.001000,289.498450
30274559.999680,290.118227
30589919.999000,288.914495
30589920.001000,288.914495
30905280.000600,289.485749
31220639.999000,289.342787
31535999.999000,288.676336
31536000.001000,288.676336
