x,y
-0.001000,-2002.000000
381.999000,-2002.772500
763.999000,-2005.089146
1145.999000,-2008.948348
1527.999000,-2014.347174
1909.999000,-2021.281225
2291.999000,-2029.745369
2673.999000,-2039.732886
3055.999000,-2051.236199
3437.999000,-2064.246510
3819.999000,-2078.753435
4201.999000,-2094.746218
4583.999000,-2112.212397
4965.999000,-2131.138042
5347.999000,-2151.509223
5729.999000,-2173.309811
6111.999000,-2196.523186
6493.999000,-2221.131266
6875.999000,-2247.114987
7257.999000,-2274.454555
7639.999000,-2303.128953
8021.999000,-2333.115697
8403.999000,-2364.391815
8785.999000,-2396.933113
9167.999000,-2430.714419
9549.999000,-2465.710073
9931.999000,-2501.892704
10313.999000,-2539.234207
10695.999000,-2577.706235
11077.999000,-2617.278971
11459.999000,-2657.921624
11841.999000,-2699.603156
12223.999000,-2742.291065
12605.999000,-2785.952847
12987.999000,-2830.554289
13369.999000,-2876.061421
13751.999000,-2922.438806
14133.999000,-2969.651010
14515.999000,-3017.661131
14897.999000,-3066.432510
15279.999000,-3115.927512
15661.999000,-3166.107525
16043.999000,-3216.934424
16425.999000,-3268.368619
16807.999000,-3320.370276
17189.999000,-3372.899559
17571.999000,-3425.915902
17953.999000,-3479.378246
18335.999000,-3533.245536
18717.999000,-3587.475982
19099.999000,-3642.027794
19481.999000,-3696.859182
19863.999000,-3751.927378
20245.999000,-3807.190105
20627.999000,-3862.604840
21009.999000,-3918.128570
21391.999000,-3973.718528
21773.999000,-4029.331947
22155.999000,-4084.925816
22537.999000,-4140.457122
22919.999000,-4195.883098
23301.999000,-4251.160977
23683.999000,-4306.248724
24065.999000,-4361.102351
24447.999000,-4415.680801
24829.999000,-4469.942039
25211.999000,-4523.843054
25593.999000,-4577.343278
25975.999000,-4630.400677
26357.999000,-4682.975172
26739.999000,-4735.025706
27121.999000,-4786.511710
27503.999000,-4837.394085
27885.999000,-4887.633239
28267.999000,-4937.191048
28649.999000,-4986.028411
29031.999000,-5034.107692
29413.999000,-5081.392234
29795.999000,-5127.845379
30177.999000,-5173.431447
30559.999000,-5218.115246
30941.999000,-5261.861585
31323.999000,-5304.637717
31705.999000,-5346.409917
32087.999000,-5387.146413
32469.999000,-5426.815926
32851.999000,-5465.386685
33233.999000,-5502.830341
33615.999000,-5539.117080
33997.999000,-5574.219530
34379.999000,-5608.110320
34761.999000,-5640.763058
35143.999000,-5672.152814
35525.999000,-5702.255152
35907.999000,-5731.047099
36289.999000,-5758.506171
36671.999000,-5784.611352
37053.999000,-5809.343090
37435.999000,-5832.680858
37817.999000,-5854.608037
38199.999000,-5875.107031
38200.001000,-5875.107031
