x,y
5961599.999000,400.400000
5967647.999000,420.423263
5973695.999000,435.023774
5979743.999000,442.482122
5985791.999000,446.290871
5991839.999000,448.234805
5997887.999000,449.227875
6003935.999000,449.734857
6009983.999000,449.993685
6016031.999000,450.125854
6022079.999000,450.193335
6028127.999000,450.227763
6034175.999000,450.245340
6040223.999000,450.254333
6046271.999000,450.258928
6052319.999000,450.261243
6058367.999000,450.262447
6064415.999000,450.263070
6070463.999000,450.263382
6076511.999000,523.201964
6082559.999000,900.788866
6088607.999000,900.960974
6088608.001000,900.960974
6094656.001000,900.900000
6100704.000046,900.848826
6106751.999000,900.895540
6106752.001000,900.895540
6112800.001000,829.897611
6118848.001000,644.134617
6124896.001000,549.254749
6130944.001000,500.808560
6136992.001000,476.077854
6143040.001000,463.445526
6149088.001000,456.995632
6155135.999166,453.700856
6161183.999000,490.214102
6167231.999000,779.907485
6173279.999000,900.906537
6173280.001000,900.906537
6179327.999099,900.896664
6185375.999000,901.086539
6185376.001000,901.086539
6191424.001000,900.899976
6197472.001000,860.109788
6203520.001000,685.207228
6209568.001000,570.217536
6215616.001000,511.504890
6221664.001000,481.534129
6227712.001000,466.231452
6233760.001000,458.417921
6239808.001000,454.426769
6245855.999018,452.390025
6251903.999000,672.402480
6257951.999000,900.871150
6263999.999000,900.900000
6270047.999000,900.900061
6276095.999000,900.900159
6276096.001000,900.900159
6282144.001000,896.750273
6288192.001000,734.923630
6294240.001000,595.588279
6300288.001000,524.461181
6306336.001000,488.144358
6312384.001000,469.606246
6318432.001000,460.137485
6324480.001000,455.305986
6330527.999042,452.838886
6336575.999000,568.728451
6342623.999000,900.959227
6342624.001000,900.959227
6348672.000429,900.909018
6354719.999000,900.929082
6354720.001000,900.929082
6360768.000902,900.898204
6366815.999000,900.899792
6366816.001000,900.899792
6372864.001000,795.211947
6378912.001000,626.343002
6384960.001000,540.178677
6391008.001000,496.203997
6397056.001000,473.719798
6403104.001000,462.241009
6409152.001000,456.379172
6415199.999103,453.385673
6421247.999000,508.267434
6427295.999000,858.282278
6433343.999000,901.206703
6433344.001000,901.206703
6439392.001000,900.899829
6445440.000158,900.873240
6451487.999000,900.892571
6451488.001000,900.892571
6457536.001000,844.278054
6463584.001000,663.658931
6469632.001000,559.237121
6475680.001000,505.905150
6481728.001000,478.677058
6487776.001000,464.773648
6493824.001000,457.679072
6499872.001000,454.048272
6505920.001000,452.196190
6511968.001000,451.251050
6518016.001000,450.767920
6524064.001000,450.521202
6530112.001000,450.395191
6536160.001000,450.330862
6542208.001000,450.298023
6548256.001000,450.281240
6554304.001000,450.272674
6560352.001000,450.268263
6566400.001000,450.266039
