x,y
0,1068.998984888533
315360,1598.858743090821
630720,348.0399781999174
946080,0
1261440,315.0146887939447
1576800,856.0306556207454
1892160,66.14298949445111
2207520,2439.186313745117
2522880,1324.966257590888
2838240,0
3153600,1818.603979591338
3468960,0
3784320,1157.654030216244
4099680,2225.38800546875
4415040,200.7411420812125
4730400,2628.201789037701
5045760,721.3019114501949
5361120,1541.451718969732
5676480,6472.811010048727
5991840,0
6307200,0
6622560,0
6937920,471.7837596435552
7253280,0
7568640,0
7884000,310.5740732421735
8199360,0
8514720,0
8830080,0
9145440,398.6046901995792
9460800,0
9776160,0
10091520,0
10406880,0
10722240,0
11037600,0
11352960,0
11668320,0
11983680,0
12299040,0
12614400,0
12929760,0
13245120,0
13560480,0
13875840,0
14191200,0
14506560,0
14821920,0
15137280,0
15452640,0
15768000,0
16083360,0
16398720,0
16714080,0
17029440,0
17344800,0
17660160,0
17975520,0
18290880,0
18606240,0
18921600,0
19236960,0
19552320,0
19867680,0
20183040,0
20498400,0
20813760,0
21129120,0
21444480,0
21759840,0
22075200,0
22390560,0
22705920,0
23021280,0
23336640,0
23652000,0
23967360,0
24282720,0
24598080,1411.807178055162
24913440,0
25228800,0
25544160,0
25859520,0
26174880,0
26490240,0
26805600,0
27120960,0
27436320,0
27751680,522.3587516174316
28067040,0
28382400,0
28697760,779.5593774230957
29013120,0
29328480,0
29643840,0
29959200,0
30274560,4182.839064257812
30589920,1289.71715162014
30905280,0
31220640,2269.364046972656
31536000,870.8045083195298
