x,y
-0.001,1.001
0.001,1.001
864.001,0.801
1728.001,0.401
2591.999,0.401
3455.999,0.801
3456.001,0.801
4320,0.001000925925925933
5183.999,0.801
5184.001,0.801
6048.001,0.4009999999999697
6911.999,0.401
7775.999,0.801
7776.000999999999,0.801
8640,0.001000925925925933
9503.999,0.801
9504.001,0.801
10368.001,0.401
11231.999,0.401
12095.999,0.8009999999999394
12096.001,0.8009999999999394
12960,0.001000925925927043
13823.999,0.801
13824.001,0.801
14688.001,0.4009999999999394
15551.999,0.401
16415.999,0.801
16416.001,0.801
17280,0.001000925925922602
18143.999,0.801
18144.001,0.801
19008.001,0.401
19871.999,0.401
20735.999,0.801
20736.001,0.801
21600,0.001000925925922602
22463.999,0.801
22464.001,0.801
23328.00100000001,0.401
24191.999,0.4010000000001213
25055.999,0.801
25056.001,0.801
25920,0.001000925925922602
26783.999,0.801
26784.001,0.801
27648.001,0.401
28511.999,0.401
29375.999,0.8009999999998787
29376.001,0.8009999999998787
30240,0.001000925926043728
31103.999,0.801
31104.001,0.801
31968.001,0.401
32831.999,0.401
33695.999,0.801
33696.001,0.801
34560,0.001000925925927043
35423.999,0.801
35424.001,0.801
36288.001,0.401
37151.999,0.401
38015.999,0.801
38016.001,0.801
38879.99999999999,0.001000925925931484
39743.999,0.801
39744.001,0.801
40608.001,0.401
41471.999,0.401
42335.999,0.801
42336.001,0.801
43199.99999999999,0.00100092592591816
44063.999,0.801
44064.001,0.801
44928.001,0.401
45791.999,0.401
46655.999,0.801
46656.001,0.801
47519.99999999999,0.001000925926174068
48383.99900000001,0.8010000000002425
48384.001,0.8010000000002425
49248.00099999999,0.4010000000002425
50111.999,0.401
50975.999,0.801
50976.001,0.801
51839.99999999999,0.001000925925931484
52703.999,0.801
52704.001,0.801
53568.001,0.401
54431.999,0.401
55295.999,0.801
55296.001,0.801
56159.99999999999,0.001000925925931484
57023.999,0.801
57024.001,0.801
57888.001,0.401
58751.99900000001,0.4010000000002426
59615.999,0.8010000000002425
59616.00099999999,0.8010000000002425
60479.99999999999,0.001000925926156303
61343.999,0.801
61344.001,0.801
62208.001,0.401
63071.999,0.401
63935.999,0.801
63936.001,0.801
64800,0.001000925925922602
65663.99900000001,0.801
65664.001,0.801
66528.001,0.401
67391.99900000001,0.401
68255.99900000001,0.801
68256.001,0.801
69120,0.001000925925922602
69983.99900000001,0.801
69984.001,0.801
70848.00099999999,0.401
71711.999,0.401
72575.999,0.801
72576.00099999999,0.801
73439.99999999999,0.001000925925931484
74303.999,0.801
74304.00099999999,0.801
75168.00099999999,0.401
76031.99900000001,0.401
76895.99900000001,0.801
76896.001,0.801
77759.99999999999,0.001000925925931484
78623.99900000001,0.801
78624.001,0.801
79488.001,0.401
80351.99900000001,0.401
81215.999,0.801
81216.00099999999,0.801
82080,0.001000925925922602
82943.999,0.801
82944.00099999999,0.801
83808.00099999999,0.401
84671.999,0.401
85535.999,0.801
85536.00099999999,0.801
86400.001,0.001
