x,y
-0.001,-0.001
9.000999999999999,-0.001
12.001,499.5
24.001,3496.5
27.001,4245.75
30.001,4995
36.001,6493.5
39.001,7242.75
42.001,7992.000000000002
51.001,10239.75
54.001,10989
60.001,12487.5
63.001,13236.75
69.001,14735.25
72.00099999999999,15484.5
84.00100000000002,18481.5
87.001,19230.75
102.001,22977
105.001,23726.25
108.001,24475.5
111.001,25234.74
120.001,27572.4
123.001,28351.62
138.001,32247.72
141.001,33026.94
159.001,37702.26
162.001,38441.52
165.001,39160.8
168.001,39880.08000000001
171.001,40599.35999999999
174.001,41318.64
201.001,47792.16
204.001,48511.44000000001
207.001,49230.71999999999
210.001,49950
300.001,49950
