x,y
-0.001,0.001
8.998999999999999,0.001
11.999,1041.04
14.999,2602.6
20.999,5725.720000000002
23.999,7287.28
26.999,8848.84
29.999,10410.4
35.999,13533.52
41.999,16656.64
44.999,18218.2
50.999,21341.32
53.999,22902.88
59.999,26026
62.999,27587.56
68.99900000000001,30710.68
71.999,32272.24
80.999,36956.92
83.999,38518.48000000001
86.99899999999998,40080.04
98.999,46326.28
101.999,47887.84
104.999,49449.4
107.999,51010.96
110.999,52512.46
122.999,58037.98
125.999,59419.36
137.999,64944.88
140.999,66326.25999999999
158.999,74614.53999999999
161.999,75355.28
167.999,76196.12
170.999,76616.53999999999
203.999,81241.16
206.999,81661.58
209.999,82082
300.001,82082
