x,y
-0.001000,0.001000
863.999000,534.754374
1727.999000,536.872335
1728.001000,536.872335
2591.999210,532.821360
3455.999000,567.409372
4319.999000,673.889036
5183.999000,843.107402
6047.999000,1040.711425
6911.999000,1230.551832
7775.999000,1389.382990
8639.999000,1508.972675
9503.999000,1591.826442
10367.999000,1645.525473
11231.999000,1678.481614
12095.999000,1697.973621
12959.999000,1709.147626
13823.999000,1715.574334
14687.999000,1719.325151
15551.999000,1721.596464
16415.999000,1723.083300
17279.999000,1724.102629
18143.999000,1724.855823
19007.999000,1725.421085
19871.999000,1725.867698
20735.999000,1726.212770
21599.999000,1726.490635
22463.999000,1726.714858
23327.999000,1726.897780
24191.999000,1727.049299
25055.999000,1727.176379
25919.999000,1727.284763
26783.999000,1727.379096
27647.999000,1727.462431
28511.999000,1727.536968
29375.999000,1727.604785
30239.999000,1727.668447
31103.999000,1727.726000
31967.999000,1727.780253
32831.999000,1727.831696
33695.999000,1727.880451
34559.999000,1727.927740
35423.999000,1727.974051
37151.999000,1728.057630
38015.999000,1728.097220
38879.999000,1728.136200
39743.999000,1728.174079
40607.999000,1728.210493
41471.999000,1728.246295
42335.999000,1728.280876
43199.999000,1728.314479
44063.999000,1728.347104
44927.999000,1728.378874
45791.999000,1728.409666
46655.999000,1728.439481
47519.999000,1728.468685
48383.999000,1728.497034
49247.999000,1728.524649
50111.999000,1728.551410
50975.999000,1728.577314
51839.999000,1728.602486
52703.999000,1728.627169
53567.999000,1728.651119
54431.999000,1728.674335
55295.999000,1728.697063
56159.999000,1728.718935
57023.999000,1728.740319
57887.999000,1728.761092
58751.999000,1728.781376
59615.999000,1728.801171
60479.999000,1728.820355
61343.999000,1728.838928
62207.999000,1728.857013
63071.999000,1728.874608
63935.999000,1728.891838
64799.999000,1728.908456
65663.999000,1728.924585
66527.999000,1728.940348
67391.999000,1728.955622
68255.999000,1728.970652
69119.999000,1728.985070
69983.999000,1728.999245
70847.999000,1729.012930
71711.999000,1729.026249
72575.999000,1729.039202
73439.999000,1729.051910
74303.999000,1729.064251
75167.999000,1729.076104
76031.999000,1729.087834
76895.999000,1729.099076
77759.999000,1729.110073
78623.999000,1729.120826
79487.999000,1729.131212
80351.999000,1729.141354
81215.999000,1729.151130
82079.999000,1729.160661
82943.999000,1729.169947
83807.999000,1729.178990
84671.999000,1729.187787
85535.999000,1729.196341
86399.999000,1729.204650
86400.001000,1729.204650
