x,y
-0.001000,288.438144
999.999000,293.384644
1999.999000,293.392526
2999.999000,293.393228
3000.001000,293.393228
4000.001000,293.387302
5000.001000,293.372975
6000.001000,293.347101
7000.001000,293.313192
7999.999598,293.299751
8999.999000,293.331277
9999.999000,293.365888
10999.999000,293.384644
11999.999000,293.392526
12999.999000,293.393259
13000.001000,293.393259
14000.001000,293.387302
15000.001000,293.372914
16000.001000,293.347101
17000.001000,293.313284
17999.999601,293.299751
18999.999000,293.331277
19999.999000,293.365949
20999.999000,293.384614
21999.999000,293.392495
22999.999000,293.393259
23000.001000,293.393259
24000.001000,293.387302
25000.001000,293.373036
26000.001000,293.347131
27000.001000,293.313253
27999.999601,293.299751
28999.999000,293.331216
29999.999000,293.365918
30999.999000,293.384644
31999.999000,293.392526
32999.999000,293.393289
33000.001000,293.393289
34000.001000,293.387302
35000.001000,293.372944
36000.001000,293.347101
37000.001000,293.313314
37999.999602,293.299782
38999.999000,293.331216
39999.999000,293.365888
40999.999000,293.384644
41999.999000,293.392526
42999.999000,293.393259
43000.001000,293.393259
44000.001000,293.387302
45000.001000,293.373036
46000.001000,293.347101
47000.001000,293.313314
47999.999601,293.299751
48999.999000,293.331307
49999.999000,293.365918
50999.999000,293.384644
51999.999000,293.392526
52999.999000,293.393228
53000.001000,293.393228
54000.001000,293.387271
55000.001000,293.373036
56000.001000,293.347162
57000.001000,293.313345
57999.999599,293.299782
58999.999000,293.331521
59999.999000,293.365918
60999.999000,293.384614
61999.999000,293.392526
62999.999000,293.393228
63000.001000,293.393228
64000.001000,293.387333
65000.001000,293.372975
66000.001000,293.347101
67000.001000,293.313284
67999.999604,293.299751
68999.999000,293.331002
69999.999000,293.365918
70999.999000,293.384644
71999.999000,293.392526
72999.999000,293.393228
73000.001000,293.393228
74000.001000,293.387271
75000.001000,293.373189
76000.001000,293.347101
77000.001000,293.313345
77999.999603,293.299751
78999.999000,293.331277
79999.999000,293.365857
80999.999000,293.384492
81999.999000,293.392526
82999.999000,293.393198
83000.001000,293.393198
84000.001000,293.387302
85000.001000,293.372914
86000.001000,293.347131
87000.001000,293.313253
87999.999602,293.299782
88999.999000,293.331093
89999.999000,293.365857
90999.999000,293.384614
91999.999000,293.392526
92999.999000,293.393228
93000.001000,293.393228
94000.001000,293.387302
95000.001000,293.372914
96000.001000,293.347192
97000.001000,293.313253
97999.999600,293.299751
98999.999000,293.331277
99999.999000,293.365888
100000.001000,293.365888
