x,y
-0.001000,322.826844
9.999000,292.856752
19.999000,292.856448
29.999000,292.856021
39.999000,292.855533
49.999000,292.854984
59.999000,292.854374
69.999000,292.853734
89.999000,292.852332
119.999000,292.850137
139.999000,292.848612
149.999000,292.847881
179.999000,292.845594
189.999000,292.844862
219.999000,292.842576
229.999000,292.841844
249.999000,292.840320
259.999000,292.839588
260.001000,292.839588
270.001000,299.977585
280.001000,305.920671
290.001000,310.312576
300.001000,313.558168
310.001000,315.956615
320.001000,317.729072
330.001000,319.038918
340.001000,320.006882
350.001000,320.722200
360.001000,321.423006
370.001000,326.853270
380.001000,330.986187
390.001000,334.040412
400.001000,336.297430
410.001000,337.965346
420.001000,339.197938
430.001000,340.108831
440.001000,340.781985
450.001000,341.279442
460.001000,341.647055
470.001000,341.918725
480.001000,342.119483
490.001000,342.267863
500.001000,342.377495
510.001000,342.458499
520.001000,342.518345
530.001000,342.562612
540.001000,342.595325
550.001000,342.619501
560.001000,342.637336
570.001000,342.650567
580.001000,342.660323
590.001000,342.667518
600.001000,342.672853
610.001000,342.676817
620.001000,342.679713
630.001000,342.681877
640.001000,342.683463
650.001000,342.684621
660.001000,342.685505
670.001000,342.686146
680.001000,342.686603
690.001000,342.686969
700.001000,342.687213
710.001000,342.687426
720.001000,342.687579
740.001000,342.687761
760.001000,342.687883
790.001000,342.687975
800.001000,342.687975
810.001000,342.688005
830.001000,342.688005
840.001000,342.688036
900.001000,342.688036
910.001000,342.688066
1000.001000,342.688066
