x,y
-0.001000,323.473144
0.001000,323.473144
10.001000,323.290986
20.001000,322.954223
30.001000,322.675411
40.001000,322.506755
50.001000,322.420243
60.001000,322.379553
70.001000,322.361315
80.001000,322.353312
90.001000,322.349860
99.999001,322.348363
109.999000,325.009255
119.999000,333.061427
129.999000,338.601874
139.999000,340.849206
149.999000,341.569103
159.999000,341.777868
169.999000,341.838048
179.999000,341.856499
189.999000,341.862792
199.999000,341.865144
209.999000,341.866122
219.999000,341.866488
229.999000,341.866641
239.999000,341.866733
259.999000,341.866794
1000.001000,341.866794
