x,y
-0.001000,295.625591
6047.999000,301.451144
24192.001000,301.451144
30240.001000,301.448639
48383.999000,301.448639
54431.999000,301.452361
60479.999000,301.453679
72576.001000,301.453679
78624.001000,301.451398
84672.001000,301.451144
90720.001000,301.448639
108863.999000,301.448639
114911.999000,301.451144
120959.999000,301.453679
139104.001000,301.453679
145152.001000,301.451144
151200.001000,301.448639
169343.999000,301.448639
175391.999000,301.451144
181439.999000,301.453679
199584.001000,301.453679
205632.001000,301.451144
211680.001000,301.448639
229823.999000,301.448639
235871.999000,301.451144
241919.999000,301.453679
260064.001000,301.453679
266112.001000,301.451144
272160.001000,301.448639
290303.999000,301.448639
296351.999000,301.451144
302399.999000,301.453679
320544.001000,301.453679
326592.001000,301.451144
332640.001000,301.448639
350783.999000,301.448639
356831.999000,301.449841
362879.999000,301.453679
381024.001000,301.453679
387072.001000,301.451144
393120.001000,301.449140
399168.001000,301.448639
417311.999000,301.448639
423359.999000,301.453679
441504.001000,301.453679
447552.001000,301.451144
453600.001000,301.451144
459648.001000,301.448639
477791.999000,301.448639
483839.999000,301.453679
501984.001000,301.453679
508032.001000,301.451144
514080.001000,301.451144
520128.001000,301.448639
538271.999000,301.448639
544319.999000,301.453172
550367.999000,301.453679
562464.001000,301.453679
568512.001000,301.451271
574560.001000,301.451144
580608.001000,301.448639
598751.999000,301.448639
604799.999000,301.451144
604800.001000,301.451144
