x,y
-0.001000,302.846844
7.999000,302.845777
15.999000,302.843216
23.999000,302.839740
31.999000,302.835747
39.999000,302.831448
47.999000,302.826997
55.999000,302.822424
63.999000,302.817790
71.999000,302.813125
103.999000,302.794345
111.999000,302.789620
167.999000,302.756755
175.999000,302.752090
183.999000,302.747487
184.001000,302.747487
192.001000,302.752456
200.001000,302.765230
208.001000,302.781510
216.001000,302.794833
224.001000,302.803705
232.001000,302.808857
240.001000,302.811418
248.001000,302.812394
255.999267,302.812454
263.999000,302.812058
271.999000,302.811448
279.999000,302.810869
287.999000,302.810442
295.999000,302.810320
296.001000,302.810320
304.001000,302.810717
312.001000,302.811784
320.001000,302.813765
328.001000,302.816875
336.001000,302.821418
344.001000,302.827607
352.001000,302.835716
360.001000,302.846021
368.001000,302.858703
376.001000,302.874160
384.001000,302.892818
392.001000,302.915165
400.001000,302.941903
408.001000,302.973883
416.001000,303.012511
424.001000,303.059766
432.001000,303.118270
440.001000,303.191439
448.001000,303.283449
456.001000,303.399147
464.001000,303.543992
472.001000,303.724048
480.001000,303.946268
488.001000,304.217969
496.001000,304.546254
504.001000,304.937586
512.001000,305.397026
520.001000,305.927470
528.001000,306.529224
536.001000,307.199634
544.001000,307.932939
552.001000,308.720481
560.001000,309.551253
568.001000,310.413245
576.001000,311.294991
584.001000,312.185488
592.001000,313.073972
600.001000,313.950048
608.001000,314.804204
616.001000,315.627873
624.001000,316.413647
632.001000,317.155519
640.001000,317.848856
648.001000,318.490425
656.001000,319.078429
664.001000,319.612288
672.001000,320.092764
680.001000,320.521656
688.001000,320.901373
696.001000,321.233834
704.001000,321.521053
712.001000,321.765742
720.001000,321.971438
728.001000,322.142287
736.001000,322.282619
744.001000,322.396885
752.001000,322.489200
760.001000,322.563283
768.001000,322.622489
776.001000,322.669592
784.001000,322.706908
792.001000,322.736419
800.001000,322.759681
