x,y
-0.001000,302.846844
7.999000,302.845472
15.999000,302.842118
23.999000,302.837637
31.999000,302.832484
39.999000,302.826936
47.999000,302.821143
55.999000,302.815229
63.999000,302.809253
71.999000,302.803217
103.999000,302.778949
111.999000,302.772852
151.999000,302.742517
159.999000,302.736481
167.999000,302.730414
175.999000,302.724377
183.999000,302.718432
184.001000,302.718432
192.001000,302.909495
200.001000,305.666806
208.001000,311.715499
216.001000,316.288833
224.001000,318.991419
232.001000,320.576990
240.001000,321.507211
248.001000,322.052777
256.001000,322.372709
264.001000,322.560417
272.001000,322.670537
280.001000,322.735200
288.001000,322.773034
296.001000,322.795290
304.001000,322.808338
312.001000,322.815991
320.001000,322.820472
328.001000,322.823124
336.001000,322.824649
344.001000,322.825563
352.001000,322.826112
360.001000,322.826417
368.001000,322.826600
376.001000,322.826691
384.001000,322.826752
400.001000,322.826813
408.001000,322.826813
416.001000,322.826844
488.001000,322.826844
496.001000,322.826874
504.001000,322.826874
520.000000,322.826935
535.999000,322.826874
543.999000,322.826874
551.999000,322.826844
800.001000,322.826844
