x,y
-0.001000,303.453144
0.001000,303.453144
8.001000,303.451769
16.001000,303.448409
24.001000,303.443918
32.001000,303.438756
40.001000,303.433196
48.001000,303.427392
56.001000,303.421466
64.001000,303.415478
72.001000,303.409430
104.001000,303.385113
112.001000,303.379004
152.001000,303.348608
160.001000,303.342560
168.001000,303.336481
176.001000,303.330432
183.999060,303.324477
191.999000,303.515920
199.999000,306.278751
207.999000,312.339554
215.999000,316.922044
223.999000,319.630041
231.999000,321.218786
239.999000,322.150870
247.999000,322.697528
255.999000,323.018099
263.999000,323.206184
271.999000,323.316524
279.999000,323.381316
287.999000,323.419227
295.999000,323.441527
303.999000,323.454601
311.999000,323.462269
319.999000,323.466759
327.999000,323.469417
335.999000,323.470944
343.999000,323.471861
351.999000,323.472411
359.999000,323.472716
367.999000,323.472900
375.999000,323.472991
383.999000,323.473052
399.999000,323.473113
407.999000,323.473113
415.999000,323.473144
487.999000,323.473144
495.999000,323.473174
503.999000,323.473174
519.999000,323.473236
520.001000,323.473236
536.001000,323.473174
544.001000,323.473174
552.001000,323.473144
800.001000,323.473144
