x,y
-0.001000,292.856844
8639.999000,292.856484
17279.999000,292.855661
17280.001000,292.855661
25920.001000,292.856196
34559.999808,292.858039
43199.999000,292.855320
43200.001000,292.855320
51839.999799,292.859996
60479.999000,292.852966
60480.001000,292.852966
69120.000810,292.857795
77759.999000,292.857289
86399.999000,292.856844
86400.001000,292.856844
95040.001000,292.857033
103679.999336,292.857533
112319.999000,292.855056
112320.001000,292.855056
120960.001000,292.920280
129600.001000,293.017450
138239.999845,293.457631
146879.999000,292.856372
146880.001000,292.856372
155520.000101,292.857917
164159.999000,292.856655
164160.001000,292.856655
172800.001000,292.856783
181439.999817,292.857070
190079.999000,292.856655
190080.001000,292.856655
198720.001000,292.857778
207360.000696,293.275492
215999.999000,293.200677
216000.001000,293.200677
224639.999939,293.888931
233279.999000,293.111386
241919.999000,292.857326
250559.999000,292.856539
250560.001000,292.856539
259200.001000,292.856813
267839.999430,292.856954
276479.999000,292.856441
276480.001000,292.856441
285119.999917,292.863549
293759.999000,292.855155
293760.001000,292.855155
302400.001000,293.003670
311039.999848,293.290951
319679.999000,292.900501
328319.999000,292.857801
336959.999000,292.856716
345599.999000,292.856691
354239.999000,292.856289
354240.001000,292.856289
362880.001000,292.856716
371519.999996,292.879534
380159.999000,292.856533
380160.001000,292.856533
388800.001000,293.019950
397439.999966,293.603198
406079.999000,292.978634
414719.999000,292.857783
423359.999000,292.856777
431999.999000,292.856630
432000.001000,292.856630
440639.999954,292.856691
449279.999000,292.856624
449280.001000,292.856624
457920.001000,292.876179
466559.999678,292.897954
475199.999000,292.855502
475200.001000,292.855502
483840.000001,293.336648
492479.999000,292.856528
492480.001000,292.856528
501120.000078,292.857783
509759.999000,292.856710
509760.001000,292.856710
518399.999161,292.856752
527039.999000,292.856265
527040.001000,292.856265
535679.999186,292.856783
544319.999000,292.851735
544320.001000,292.851735
552960.000033,292.901298
561599.999000,292.854923
561600.001000,292.854923
570240.000000,293.115191
578879.999000,292.855128
578880.001000,292.855128
587520.000433,292.857746
596159.999000,292.856710
604799.999000,292.856661
604800.001000,292.856661
613439.999954,292.856722
622079.999000,292.856655
630719.999000,292.841290
630720.001000,292.841290
639360.001000,292.906160
648000.001000,293.084460
656639.999939,293.703177
665279.999000,293.003401
673919.999000,292.857637
682559.999000,292.856771
691199.999000,292.856630
699839.999000,292.856502
699840.001000,292.856502
708480.001000,292.856765
717120.001000,292.869673
725760.001000,292.962921
734400.001000,293.098332
743039.999845,293.464335
751679.999000,292.964414
760319.999000,292.857746
768959.999000,292.856600
768960.001000,292.856600
777599.999969,292.856691
786239.999000,292.856594
786240.001000,292.856594
794880.001000,292.856691
803520.001000,292.879972
812160.001000,292.919647
820800.001000,292.978640
829439.999936,293.404879
838079.999000,292.920708
846719.999000,292.857716
855359.999000,292.856661
855360.001000,292.856661
864000.001000,292.856691
