x,y
-0.001000,292.856844
8639.999000,292.856484
17279.999000,292.855661
25919.999000,292.850960
25920.001000,292.850960
34560.001000,292.858746
43200.001000,292.859130
51839.999286,292.859740
60479.999000,292.856088
69119.999000,292.854801
69120.001000,292.854801
77760.000679,292.857289
86399.999000,292.856813
86400.001000,292.856813
95040.001000,292.857015
103680.001000,292.857515
112320.001000,292.861517
120960.001000,292.999636
129600.001000,293.547406
138239.999000,293.547297
146879.999000,293.280813
155519.999000,292.854448
155520.001000,292.854448
164160.001000,292.856649
172800.001000,292.856752
181439.999840,292.857039
190079.999000,292.856643
190080.001000,292.856643
198720.001000,293.003634
207360.001000,293.380441
216000.001000,293.797004
224639.999738,294.025718
233279.999000,293.634910
241919.999000,292.854685
241920.001000,292.854685
250560.001000,292.856533
259200.001000,292.856783
267839.999438,292.856923
276479.999000,292.856423
276480.001000,292.856423
285120.001000,292.925595
293760.001000,293.003816
302400.000766,293.481951
311039.999000,293.418633
319679.999000,293.403939
328319.999000,292.855807
328320.001000,292.855807
336960.000946,292.856685
345599.999000,292.856661
354239.999000,292.856259
354240.001000,292.856259
362880.001000,292.856685
371520.001000,292.883141
380160.001000,292.959213
388800.001000,293.521401
397439.999972,293.743889
406079.999000,293.508517
414719.999000,292.856984
423359.999000,292.856746
431999.999000,292.856600
432000.001000,292.856600
440640.000051,292.856661
449279.999000,292.856606
449280.001000,292.856606
457920.001000,292.894287
466560.001000,293.066101
475200.001000,293.248847
483840.000306,293.468775
492479.999000,293.351992
501119.999000,292.854246
501120.001000,292.854246
509760.001000,292.856679
518399.999161,292.856722
527039.999000,292.856234
527040.001000,292.856234
535680.001000,292.856752
544320.001000,292.969220
552960.001000,293.042442
561600.001000,293.061260
570240.000889,293.244207
578879.999000,293.233483
587519.999000,292.854192
587520.001000,292.854192
596160.000943,292.856704
604799.999000,292.856630
604800.001000,292.856630
613440.000051,292.856691
622079.999000,292.856637
630719.999000,292.840001
630720.001000,292.840001
639360.001000,293.041980
648000.001000,293.652770
656639.999797,293.853460
665279.999000,293.550595
673919.999000,292.854893
673920.001000,292.854893
682560.000859,292.856740
691199.999000,292.856600
699839.999000,292.856472
699840.001000,292.856472
708480.001000,292.856734
717120.001000,292.910737
725760.001000,293.132282
734400.001000,293.566613
743039.999450,293.597816
751679.999000,293.490408
760319.999000,292.856082
760320.001000,292.856082
768960.001000,292.856570
777599.999969,292.856661
786239.999000,292.856563
786240.001000,292.856563
794880.001000,292.856661
803520.001000,292.880347
812160.001000,293.089978
820800.001000,293.445427
829439.999979,293.531149
838079.999000,293.441687
846719.999000,292.855813
846720.001000,292.855813
855360.001000,292.856630
864000.001000,292.856661
