x,y
-0.001000,0.011000
315359.999000,0.023074
315360.001000,0.023074
630720.000159,0.016287
946079.999000,0.021212
1261439.999000,0.021570
1261440.001000,0.021570
1576799.999916,0.016361
1892159.999000,0.022526
1892160.001000,0.022526
2207520.001000,0.021230
2522879.999870,0.016544
2838239.999000,0.022624
3153599.999000,0.023060
3153600.001000,0.023060
3468960.000069,0.016839
3784319.999000,0.022262
3784320.001000,0.022262
4099680.001000,0.021412
4415039.999893,0.017320
4730399.999000,0.022393
4730400.001000,0.022393
5045760.001000,0.021541
5361119.999805,0.018113
5676479.999000,0.023198
5676480.001000,0.023198
5991840.000372,0.016253
6307199.999000,0.019432
6622559.999000,0.023226
6622560.001000,0.023226
6937920.000169,0.016286
7253279.999000,0.021216
7568639.999000,0.021615
7568640.001000,0.021615
7883999.999920,0.016361
8199359.999000,0.022531
8199360.001000,0.022531
8514720.001000,0.021320
8830079.999879,0.016544
9145439.999000,0.022629
9460799.999000,0.023079
9460800.001000,0.023079
9776160.000069,0.016839
10091519.999000,0.022269
10406879.999000,0.023148
10406880.001000,0.023148
10722240.000066,0.017322
11037599.999000,0.022425
11037600.001000,0.022425
11352960.000664,0.017020
11668319.999000,0.018111
11983679.999000,0.023124
11983680.001000,0.023124
12299040.000520,0.017731
12614399.999000,0.019432
12929759.999000,0.023089
12929760.001000,0.023089
13245120.000159,0.016252
13560479.999000,0.021217
13875839.999000,0.022844
13875840.001000,0.022844
14191200.000025,0.016362
14506559.999000,0.022530
14506560.001000,0.022530
14821920.001000,0.021298
15137279.999878,0.016544
15452639.999000,0.022622
15767999.999000,0.023052
15768000.001000,0.023052
16083360.000063,0.016839
16398719.999000,0.022311
16714079.999000,0.023130
16714080.001000,0.023130
17029440.000064,0.017322
17344799.999000,0.022427
17344800.001000,0.022427
17660160.001000,0.021512
17975519.999809,0.018113
18290879.999000,0.023121
18290880.001000,0.023121
18606240.000366,0.016243
18921599.999000,0.019434
19236959.999000,0.023233
19236960.001000,0.023233
19552320.000170,0.016287
19867679.999000,0.021216
20183039.999000,0.021641
20183040.001000,0.021641
20498399.999922,0.016362
20813759.999000,0.022531
21129119.999000,0.023045
21129120.001000,0.023045
21444480.000033,0.016544
21759839.999000,0.022635
22075199.999000,0.023088
22075200.001000,0.023088
22390560.000067,0.016840
22705919.999000,0.022305
23021279.999000,0.023167
23021280.001000,0.023167
23336640.000073,0.017321
23651999.999000,0.022369
23652000.001000,0.022369
23967360.001000,0.021538
24282719.999812,0.018113
24598079.999000,0.023129
24598080.001000,0.023129
24913440.000522,0.017745
25228799.999000,0.019434
25544159.999000,0.023102
25544160.001000,0.023102
25859520.000159,0.016251
26174879.999000,0.021217
26490239.999000,0.022827
26490240.001000,0.022827
26805600.000024,0.016361
27120959.999000,0.022529
27120960.001000,0.022529
27436320.001000,0.021317
27751679.999880,0.016544
28067039.999000,0.022620
28382399.999000,0.023216
28382400.001000,0.023216
28697760.000081,0.016839
29013119.999000,0.022262
29328479.999000,0.023143
29328480.001000,0.023143
29643840.000070,0.017323
29959199.999000,0.022377
29959200.001000,0.022377
30274560.001000,0.021507
30589919.999802,0.018111
30905279.999000,0.023179
30905280.001000,0.023179
31220640.000526,0.017742
31535999.999000,0.019431
31536000.001000,0.019431
