x,y
-0.001000,0.001000
4.544455,0.001000
5.453545,0.019175
6.362636,0.055493
7.271727,0.091716
8.180818,0.127779
9.089909,0.163622
9.999000,0.199185
10.908091,0.234364
11.817182,0.269137
12.726273,0.303454
13.635364,0.337267
14.544455,0.370533
15.453545,0.403214
16.362636,0.435273
17.271727,0.466679
18.180818,0.497405
19.089909,0.527427
19.999000,0.556727
20.908091,0.585205
21.817182,0.612932
22.726273,0.639900
23.635364,0.666106
24.544455,0.691550
25.453545,0.716232
26.362636,0.740158
27.271727,0.763335
28.180818,0.785770
29.089909,0.807474
29.999000,0.828461
30.908091,0.848665
31.817182,0.868184
32.726273,0.887031
33.635364,0.905224
34.544455,0.922781
35.453545,0.939717
36.362636,0.956052
37.271727,0.971803
38.180818,0.986988
39.089909,1.001625
39.999000,1.015747
40.908091,1.029300
41.817182,1.042363
42.726273,1.054953
43.635364,1.067085
44.544455,1.078795
45.453545,1.090043
46.362636,1.100901
47.271727,1.111365
48.180818,1.121449
49.089909,1.131169
49.999000,1.140537
50.908091,1.149532
51.817182,1.158205
52.726273,1.166568
53.635364,1.174634
54.544455,1.182412
55.453545,1.186239
60.001000,1.186239
