x,y
-0.001000,-0.001000
0.001000,-0.001000
36.001000,0.438500
72.001000,0.963483
144.001000,2.012455
180.001000,2.536924
252.001000,3.585861
288.001000,4.110329
576.001000,8.306077
612.001000,8.830546
648.001000,9.355014
684.001000,9.879483
720.001000,10.403950
756.001000,10.928419
792.001000,11.452887
828.001000,11.977356
864.001000,12.501824
900.001000,13.026293
936.001000,616.471108
972.001000,2576.381977
1008.001000,4850.741083
1044.001000,7483.467538
1080.001000,10582.489925
1116.001000,14247.622881
1152.001000,18440.012232
1188.001000,23036.099045
1224.001000,27877.139877
1260.001000,32861.238680
1296.001000,37962.651691
1332.001000,43209.867973
1368.001000,48620.725137
1404.001000,54222.168867
1440.001000,60060.797051
1476.001000,66165.034359
1512.001000,72545.397609
1548.001000,79214.268938
1584.001000,86187.780633
1620.001000,93483.727383
1656.001000,100999.891195
1692.001000,108645.472336
1728.001000,116416.779187
1764.001000,124311.244008
1800.001000,132327.180984
1836.001000,140464.270125
1872.001000,148726.405969
1908.001000,157119.925922
1944.001000,165649.981078
1980.001000,174320.598656
2016.001000,183134.806875
2052.001000,192094.713000
2088.001000,201201.846750
2124.001000,210458.471484
2160.001000,219870.877781
2196.001000,229446.495703
2232.001000,239188.587609
2268.001000,249096.856922
2304.001000,259170.008063
2340.001000,269395.210125
2376.001000,279671.767031
2412.001000,289974.641344
2448.001000,300302.147250
2484.001000,310652.349188
2520.001000,321023.030625
2556.001000,331412.068688
2592.001000,341817.278063
2628.001000,352236.504656
2664.001000,362667.688031
2700.001000,373108.892625
2736.001000,383552.844469
2772.001000,393991.395469
2808.001000,404428.447969
2844.001000,414865.250719
2916.001000,435738.793781
2952.001000,446175.565312
3096.001000,487922.651438
3132.001000,498359.391750
3204.001000,519232.934813
3240.001000,529669.737563
3312.001000,550543.218188
3348.001000,560980.020938
3384.001000,571416.761250
3420.001000,581853.564000
3456.001000,592290.304313
3492.001000,602727.107062
3528.001000,613163.847375
3564.001000,623600.650125
3600.001000,634037.390437
