x,y
-0.001000,303.453144
7.999000,303.489404
15.999000,303.842143
23.999000,304.545635
31.999000,305.449004
39.999000,306.439831
47.999000,307.451248
55.999000,308.445802
63.999000,309.403394
71.999000,310.314185
79.999000,311.174236
87.999000,311.982447
95.999000,312.739521
103.999000,313.447503
111.999000,314.108931
119.999000,314.726491
127.999000,315.302903
135.999000,315.840733
143.999000,316.342485
151.999000,316.810574
159.999000,317.247228
167.999000,317.654526
175.999000,318.034391
183.999000,318.674313
191.999000,320.648361
199.999000,321.816001
207.999000,322.500981
215.999000,322.902353
223.999000,323.137940
231.999000,323.276445
239.999000,323.357794
247.999000,323.405480
255.999000,323.433462
263.999000,323.449866
271.999000,323.459489
279.999000,323.465140
287.999000,323.468439
295.999000,323.470395
303.999000,323.471525
311.999000,323.472197
319.999000,323.472594
327.999000,323.472838
335.999000,323.472961
343.999000,323.473052
367.999000,323.473144
800.001000,323.473144
