x,y
-0.001000,52862.767910
199.999000,51660.252879
399.999000,51649.310707
599.999000,51587.474168
799.999000,51562.826965
999.999000,51319.554855
1000.001000,51319.554855
1200.000230,51393.578129
1399.999000,51347.202961
1599.999000,51331.558465
1600.001000,51331.558465
1799.999947,51444.327801
1999.999000,51318.871945
2000.001000,51318.871945
2200.001000,51401.937234
2400.000310,51481.810131
2599.999000,51439.700215
2799.999000,51367.124426
2800.001000,51367.124426
3000.001000,51500.522145
3200.001000,51501.610898
3399.999201,51521.828759
3599.999000,51340.385566
3600.001000,51340.385566
3799.999915,51458.352778
3999.999000,51318.571465
4000.001000,51318.571465
4200.001000,51525.598605
4399.999012,51526.874659
4599.999000,51321.330422
4600.001000,51321.330422
4800.000931,51560.672788
4999.999000,51552.056496
5000.001000,51552.056496
5199.999948,51572.949535
5399.999000,51549.746309
5599.999000,51335.609098
5600.001000,51335.609098
5800.000423,51536.118745
5999.999000,51454.755457
6000.001000,51454.755457
6199.999971,51510.941113
6399.999000,51451.442367
6400.001000,51451.442367
6599.999879,51560.648845
6799.999000,51421.468465
6800.001000,51421.468465
6999.999967,51602.411405
7199.999000,51409.203398
7200.001000,51409.203398
7400.000070,51607.355688
7599.999000,51435.130570
7600.001000,51435.130570
7800.000323,51566.389360
7999.999000,51499.179738
8199.999000,51484.175227
8200.001000,51484.175227
8399.999649,51572.145167
8599.999000,51388.872187
8600.001000,51388.872187
8799.999918,51611.222629
8999.999000,51349.224375
9000.001000,51349.224375
9200.000009,51612.131776
9399.999000,51353.993039
9400.001000,51353.993039
9600.000038,51586.208692
9799.999000,51371.147742
9800.001000,51371.147742
9999.999890,51577.959106
10199.999000,51320.011430
10200.001000,51320.011430
10400.000285,51431.099052
10599.999000,51369.348762
10600.001000,51369.348762
10799.999883,51550.155045
10999.999000,51321.595781
11000.001000,51321.595781
11200.001000,51364.373273
11399.999926,51471.675443
11599.999000,51347.148328
11799.999000,51037.231992
11999.999000,50618.014910
12199.999000,43173.412277
12399.999000,41786.253949
12599.999000,41202.514055
12799.999000,40704.680355
12999.999000,40246.162770
13199.999000,39816.253266
13399.999000,39408.302250
13599.999000,39020.885367
13799.999000,38654.783086
13999.999000,38310.967090
14199.999000,37990.666617
14399.999000,37694.861156
14599.999000,37424.643363
14799.999000,37180.906875
14999.999000,36964.439965
15199.999000,36776.011395
15399.999000,36616.245539
15599.999000,36485.669215
15799.999000,36384.731191
15999.999000,36313.790484
16199.999000,36273.069527
16399.999000,36262.712707
16400.001000,36262.712707
16600.001000,36282.755145
16800.001000,36333.122695
17000.001000,36413.647559
17200.001000,36524.064375
17400.001000,36663.994617
17600.001000,36832.970004
17800.001000,37030.409086
18000.001000,37255.648465
18200.001000,37507.934988
18400.001000,37786.386727
18600.001000,38090.090531
18800.001000,38418.008379
19000.001000,38769.020297
19200.001000,39141.963387
19400.001000,39535.545973
19600.001000,39948.468574
19800.001000,40379.302934
20000.001000,40826.589574
