x,y
-0.001000,3.817026
0.001000,3.817026
6.001000,2.002966
12.001000,2.002001
18.001000,2.002000
95.999000,2.002000
101.999000,2.027397
107.999000,2.146229
119.999000,2.386469
125.999000,2.506589
131.999000,2.626709
137.999000,2.746829
143.999000,2.866949
149.999000,2.987069
155.999000,3.107189
161.999000,3.227309
173.999000,3.467548
179.999000,3.587669
185.999000,3.707788
191.999000,3.827909
197.999000,3.948028
203.999000,4.003898
209.999000,4.004000
221.999000,4.004000
227.999000,4.004000
498.001000,4.004000
504.001000,0.027246
510.001000,0.001014
516.000996,0.001000
521.999000,0.001000
527.999000,0.001000
533.999000,0.001000
599.999000,0.001000
600.001000,0.001000
