x,y
-0.001000,0.001000
8639.999000,62675.543399
17279.999000,69162.003848
17280.001000,69162.003848
25920.001000,56385.667229
34560.001000,32410.721703
43200.001000,23598.389268
51840.000147,4712.218163
60479.999000,18763.843927
69119.999000,27140.358167
77759.999000,30365.983695
86399.999000,32189.651635
86400.001000,32189.651635
95040.001000,30996.933937
103680.001000,28740.087548
112320.001000,19555.994872
120960.001000,0.001000
138239.999000,0.001000
146879.999000,879.762699
155519.999000,9228.518616
164159.999000,13388.141173
172799.999000,14365.798713
181439.999000,14441.511459
181440.001000,14441.511459
190080.001000,13780.943348
198720.001000,9378.891361
207360.001000,0.001000
233279.999000,0.001000
241919.999000,5425.247513
250559.999000,10420.465524
259199.999000,11142.096786
267839.999000,11803.702262
276479.999000,14921.430743
276480.001000,14921.430743
285120.001000,8567.177027
293760.001000,322.042277
302400.001000,0.001000
319679.999000,0.001000
328319.999000,8468.857663
336959.999000,12148.820082
345599.999000,13696.889261
354239.999000,15611.053270
362879.999000,18447.111495
362880.001000,18447.111495
371520.001000,12592.610838
380160.001000,1431.081043
388800.001000,0.001000
406079.999000,0.001000
414719.999000,7528.099681
423359.999000,11537.797951
431999.999000,13375.613228
440639.999000,14992.834106
449279.999000,16555.549948
449280.001000,16555.549948
457920.001000,12346.056491
466560.000759,0.001345
475199.999000,1694.356116
475200.001000,1694.356116
483840.000411,0.001116
492479.999000,707.552169
501119.999000,9886.037294
509759.999000,14243.686488
509760.001000,14243.686488
518399.999194,14084.740625
527039.999000,15562.928436
535679.999000,17071.700349
535680.001000,17071.700349
544320.001000,10541.839230
552960.000190,0.001988
561599.999000,7169.730439
561600.001000,7169.730439
570240.000328,0.001558
578879.999000,3629.039374
587519.999000,12995.142707
596159.999000,16852.489169
604799.999000,18492.082984
613439.999000,19846.365211
622079.999000,21150.661563
622080.001000,21150.661563
630720.001000,15489.374465
639360.001000,0.001000
665279.999000,0.001000
673919.999000,7270.600153
682559.999000,11097.531953
691199.999000,12519.588136
699839.999000,13488.504913
708479.999000,16025.531006
708480.001000,16025.531006
717120.001000,11452.772209
725760.001000,0.001000
751679.999000,0.001000
760319.999000,7325.284177
768959.999000,11529.022583
777599.999000,13682.768709
786239.999000,15253.938113
794879.999000,16870.287418
794880.001000,16870.287418
803520.001000,12137.266540
812160.001000,0.001000
838079.999000,0.001000
846719.999000,8759.399672
855359.999000,12985.847484
863999.999000,14472.154963
864000.001000,14472.154963
