x,y
-0.001000,1.001000
0.039000,1.061060
0.049000,1.076075
0.059000,1.091090
0.069000,1.106105
0.079000,1.121120
0.089000,1.136135
0.119000,1.181180
0.129000,1.196195
0.139000,1.211210
0.149000,1.226225
0.159000,1.241240
0.179000,1.271270
0.189000,1.286285
0.199000,1.301300
0.209000,1.316315
0.219000,1.331330
0.239000,1.361360
0.249000,1.376375
0.259000,1.391390
0.269000,1.406405
0.289000,1.436435
0.299000,1.451450
0.319000,1.481480
0.339000,1.511510
0.349000,1.526525
0.359000,1.541540
0.369000,1.556555
0.379000,1.571570
0.399000,1.601600
0.419000,1.631630
0.429000,1.646645
0.439000,1.661660
0.459000,1.691690
0.469000,1.706705
0.479000,1.721720
0.489000,1.736735
0.519000,1.781780
0.529000,1.796795
0.539000,1.811810
0.549000,1.826825
0.559000,1.841840
0.569000,1.856855
0.579000,1.871870
0.589000,1.886885
0.599000,1.901900
0.619000,1.931930
0.629000,1.946945
0.639000,1.961960
0.659000,1.991990
0.669000,2.007005
0.679000,2.022020
0.689000,2.037035
0.699000,2.052050
0.709000,2.067065
0.719000,2.082080
0.729000,2.097095
0.739000,2.112110
0.759000,2.142140
0.769000,2.157155
0.779000,2.172170
0.789000,2.187185
0.799000,2.202200
0.809000,2.217215
0.819000,2.232230
0.829000,2.247245
0.839000,2.262260
0.849000,2.277275
0.859000,2.292290
0.869000,2.307305
0.879000,2.322320
0.889000,2.337335
0.899000,2.352350
0.919000,2.382380
0.929000,2.397395
0.939000,2.412410
0.949000,2.427425
0.959000,2.442440
0.969000,2.457455
0.979000,2.472470
0.989000,2.487485
0.999000,2.502500
1.001000,2.502500
