x,y
0.000000,0.065625
0.010000,0.100000
0.020000,0.141421
0.030000,0.173205
0.040000,0.200000
0.050000,0.223562
0.060000,0.244949
0.070000,0.264548
0.080000,0.282843
0.090000,0.300000
0.100000,0.316228
0.110000,0.331662
0.120000,0.346410
0.130000,0.360544
0.140000,0.374166
0.150000,0.387298
0.160000,0.400000
0.170000,0.412303
0.180000,0.424264
0.190000,0.435890
0.200000,0.447214
0.210000,0.458258
0.220000,0.469042
0.230000,0.479579
0.240000,0.489898
0.250000,0.500000
0.260000,0.509902
0.270000,0.519612
0.280000,0.529150
0.290000,0.538516
0.300000,0.547723
0.310000,0.556776
0.320000,0.565685
0.330000,0.574454
0.340000,0.583095
0.350000,0.591606
0.360000,0.600000
0.370000,0.608276
0.380000,0.616441
0.390000,0.624498
0.400000,0.632456
0.410000,0.640311
0.420000,0.648074
0.430000,0.655744
0.440000,0.663325
0.450000,0.670819
0.460000,0.678233
0.470000,0.685564
0.480000,0.692820
0.490000,0.700000
0.500000,0.707107
0.510000,0.714143
0.520000,0.721110
0.530000,0.728010
0.540000,0.734847
0.550000,0.741619
0.560000,0.748331
0.570000,0.754982
0.580000,0.761577
0.590000,0.768115
0.600000,0.774597
0.610000,0.781025
0.620000,0.787401
0.630000,0.793725
0.640000,0.800000
0.650000,0.806225
0.660000,0.812404
0.670000,0.818534
0.680000,0.824621
0.690000,0.830662
0.700000,0.836660
0.710000,0.842615
0.720000,0.848528
0.730000,0.854400
0.740000,0.860233
0.750000,0.866025
0.760000,0.871780
0.770000,0.877496
0.780000,0.883176
0.790000,0.888819
0.800000,0.894427
0.810000,0.899999
0.820000,0.905539
0.830000,0.911043
0.840000,0.916515
0.850000,0.921954
0.860000,0.927362
0.870000,0.932738
0.880000,0.938083
0.890000,0.943398
0.900000,0.948683
0.910000,0.953939
0.920000,0.959166
0.930000,0.964365
0.940000,0.969536
0.950000,0.974679
0.960000,0.979796
0.970000,0.984886
0.980000,0.989949
0.990000,0.994987
1.000000,1.000000
