x,y
-0.001000,0.001000
0.009000,0.482754
0.019000,0.845328
0.029000,0.999027
0.031000,0.999027
0.041000,0.905827
0.051000,0.588785
0.060584,0.378258
0.069000,0.426779
0.079000,0.482754
0.089000,0.536827
0.099000,0.588785
0.109000,0.638424
0.119000,0.685547
0.129000,0.729969
0.139000,0.771513
0.149000,0.952056
0.159000,0.983287
0.161000,0.983287
0.170576,0.881801
0.179000,0.905827
0.189000,0.930776
0.199000,0.952057
0.209000,0.969583
0.219000,0.983287
0.229000,0.993115
0.239000,0.999027
0.249000,1.001000
0.251000,1.001000
0.261000,0.999027
0.270000,0.993706
0.279000,0.999027
0.281000,0.999027
0.291000,0.969583
0.301000,0.952057
0.311000,0.930776
0.321000,0.905827
0.331000,0.877307
0.341000,0.845328
0.351000,0.810017
0.361000,0.771513
0.371000,0.729969
0.381000,0.685547
0.389000,0.685548
0.399000,0.952056
0.409000,0.983287
0.411000,0.983287
0.421000,0.771513
0.431000,0.426779
0.441000,0.369125
0.451000,0.310017
0.461000,0.249690
0.471000,0.188381
0.481000,0.126333
0.491000,0.063791
0.499231,0.012110
0.509000,0.482754
0.519000,0.845328
0.529000,0.999027
0.531000,0.999027
0.541000,0.905827
0.551000,0.588786
0.561000,0.126333
0.571000,-0.367125
0.581000,-0.480754
0.591000,-0.534827
0.601000,-0.586785
0.609226,-0.627620
0.619000,-0.247690
0.629000,0.249690
0.639000,0.685548
0.649000,0.952057
0.659000,0.983287
0.661000,0.983287
0.671000,0.771514
0.681000,0.369125
0.691000,-0.124333
0.701000,-0.586786
0.711000,-0.903827
0.719719,-0.971366
0.729000,-0.843328
0.739000,-0.480754
0.759000,0.482754
0.769000,0.845328
0.779000,0.999027
0.781000,0.999027
0.791000,0.905827
0.801000,0.588786
0.811000,0.126333
0.821000,-0.367125
0.831000,-0.769514
0.840353,-0.838551
0.849000,-0.808017
0.859000,-0.683548
0.869000,-0.247690
0.879000,0.249690
0.889000,0.685548
0.899000,0.952057
0.909000,0.983287
0.911000,0.983287
0.921000,0.771514
0.931000,0.369125
0.941000,-0.124333
0.950506,-0.298934
0.959000,-0.247690
0.969000,-0.186381
0.979000,-0.124333
0.989000,-0.061791
0.999000,0.001000
1.001000,0.001000
