x,y
-0.001000,0.000000
0.001000,0.000000
0.011000,0.480754
0.021000,0.498000
0.049000,0.498000
0.059000,0.124333
0.069000,0.000000
0.121000,0.000000
0.131000,0.247690
0.141000,0.498000
0.169000,0.498000
0.179000,0.367125
0.189000,0.000000
0.251000,0.000000
0.261000,0.480754
0.271000,0.498000
0.299000,0.498000
0.309000,0.124333
0.319000,0.000000
0.371000,0.000000
0.381000,0.247690
0.391000,0.498000
0.419000,0.498000
0.429000,0.367125
0.439000,0.000000
0.501000,0.000000
0.511000,0.480754
0.521000,0.498000
0.549000,0.498000
0.559000,0.124333
0.569000,0.000000
0.621000,0.000000
0.631000,0.247690
0.641000,0.498000
0.669000,0.498000
0.679000,0.367125
0.689000,0.000000
0.751000,0.000000
0.761000,0.480754
0.771000,0.498000
0.799000,0.498000
0.809000,0.124333
0.819000,0.000000
0.871000,0.000000
0.881000,0.247690
0.891000,0.498000
0.919000,0.498000
0.929000,0.367125
0.939000,0.000000
1.001000,0.000000
