x,y
-0.001000,0.001000
0.009000,0.369125
0.019000,0.685547
0.029000,0.905827
0.031000,0.905827
0.041000,0.588785
0.051000,0.001000
0.061000,-0.586785
0.071000,-0.950057
0.079000,-0.950056
0.081000,-0.950056
0.090000,-0.978164
0.099000,-0.950057
0.109000,-0.843328
0.111000,-0.843328
0.121000,-0.981287
0.129000,-0.981287
0.139000,-0.843328
0.149000,-0.586785
0.159000,-0.586785
0.161000,-0.586785
0.171000,-0.950056
0.179000,-0.950057
0.189000,-0.586785
0.191000,-0.586785
0.201000,-0.586785
0.211000,-0.903827
0.219755,-0.985423
0.229000,-0.843328
0.239000,-0.480753
0.249000,0.001000
0.251000,0.001000
0.261000,-0.586786
0.271000,-0.950056
0.281000,-0.950057
0.290000,-0.992330
0.299000,-0.950057
0.309000,-0.769513
0.319000,-0.480754
0.321000,-0.480754
0.331000,-0.769513
0.340743,-0.975844
0.349000,-0.950056
0.359000,-0.683548
0.361000,-0.683548
0.371000,-0.950056
0.379000,-0.950056
0.389000,-0.586784
0.399000,0.001000
0.409000,0.249690
0.411000,0.249690
0.421000,-0.124334
0.431000,-0.480753
0.441000,-0.769513
0.451000,-0.950057
0.461000,-0.997027
0.469000,-0.997027
0.479000,-0.950056
0.489000,-0.586786
0.499000,0.001000
0.509000,0.369125
0.519000,0.685548
0.529000,0.905827
0.531000,0.905827
0.541000,0.588786
0.551000,0.001001
0.561000,-0.586785
0.571000,-0.950057
0.579000,-0.950056
0.581000,-0.950056
0.590000,-0.978164
0.599000,-0.950057
0.609000,-0.843328
0.611000,-0.843328
0.621000,-0.981287
0.629000,-0.981287
0.639000,-0.843328
0.649000,-0.586784
0.659000,-0.586784
0.661000,-0.586784
0.671000,-0.950056
0.679000,-0.950057
0.689000,-0.586785
0.691000,-0.586785
0.701000,-0.586786
0.711000,-0.903827
0.719755,-0.985423
0.729000,-0.843328
0.739000,-0.480754
0.749000,0.001000
0.751000,0.001000
0.761000,-0.586786
0.771000,-0.950057
0.779000,-0.950056
0.781000,-0.950056
0.790000,-0.992330
0.799000,-0.950057
0.809000,-0.769513
0.819000,-0.480754
0.821000,-0.480754
0.831000,-0.769514
0.840743,-0.975844
0.849000,-0.950057
0.859000,-0.683548
0.861000,-0.683548
0.871000,-0.950056
0.879000,-0.950056
0.889000,-0.586784
0.899000,0.001001
0.909000,0.249691
0.911000,0.249691
0.921000,-0.124333
0.931000,-0.480753
0.941000,-0.769513
0.951000,-0.950057
0.961000,-0.997027
0.969000,-0.997027
0.979000,-0.950057
0.989000,-0.586786
0.999000,0.001000
1.001000,0.001000
