x,y
-0.001000,1.001000
1.907000,1.001000
2.066000,2.002000
2.861000,2.002000
3.020000,3.003000
3.974000,3.003000
4.133000,4.004000
4.928000,4.004000
5.087000,5.005000
5.882000,5.005000
6.041000,6.006000
6.995000,6.006000
7.154000,7.007000
7.949000,7.007000
8.108000,8.008000
8.903000,8.008000
9.062000,9.009000
9.857000,9.009000
10.016000,10.009974
10.175000,10.010000
10.970000,10.010000
11.129000,11.011000
11.924000,11.011000
12.083000,12.012000
12.878000,12.012000
13.037000,13.013000
13.991000,13.013000
14.150000,14.014000
14.945000,14.014000
15.104000,15.015000
15.901000,15.015000
