x,y
-1.501000,-0.147148
-1.499000,-0.147148
-1.469000,-0.159617
-1.439000,-0.173426
-1.409000,-0.188751
-1.379000,-0.205797
-1.349000,-0.224801
-1.319000,-0.246039
-1.289000,-0.269833
-1.259000,-0.296563
-1.229000,-0.326673
-1.199000,-0.360690
-1.169000,-0.399237
-1.139000,-0.443060
-1.109000,-0.493048
-1.079000,-0.550272
-1.049000,-0.616027
-1.019000,-0.691884
-0.989000,-0.779765
-0.959000,-0.882032
-0.929000,-1.001602
-0.899000,-1.141975
-0.869000,-1.307825
-0.839000,-1.504907
-0.809000,-1.740551
-0.779000,-2.024176
-0.749000,-2.368000
-0.719000,-2.788026
-0.689000,-3.305449
-0.659000,-3.948672
-0.629000,-4.756249
-0.599000,-5.781251
-0.570663,-7.024881
-0.541000,-0.604373
-0.511000,11.797166
-0.509000,11.797166
-0.479000,10.340699
-0.449000,5.160703
-0.419000,4.324320
-0.389000,3.728623
-0.359000,3.177051
-0.329000,2.669606
-0.299000,2.206285
-0.269000,1.787091
-0.239000,1.412023
-0.209000,1.081080
-0.179000,0.794469
-0.149000,0.552020
-0.119000,0.353653
-0.089000,0.199367
-0.059000,0.089163
-0.029000,0.023041
-0.000000,0.001735
0.029000,0.023041
0.059000,0.089163
0.089000,0.199367
0.119000,0.353653
0.149000,0.552020
0.179000,0.794469
0.209000,1.081080
0.239000,1.412023
0.269000,1.787091
0.299000,2.206285
0.329000,2.669606
0.359000,3.177051
0.389000,3.728623
0.419000,4.324320
0.449000,5.160703
0.479000,10.340699
0.509000,11.797166
0.511000,11.797166
0.541000,-0.604373
0.570663,-7.024881
0.599000,-5.781251
0.629000,-4.756249
0.659000,-3.948672
0.689000,-3.305449
0.719000,-2.788026
0.749000,-2.368000
0.779000,-2.024176
0.809000,-1.740551
0.839000,-1.504907
0.869000,-1.307825
0.899000,-1.141975
0.929000,-1.001602
0.959000,-0.882032
0.989000,-0.779765
1.019000,-0.691884
1.049000,-0.616027
1.079000,-0.550272
1.109000,-0.493048
1.139000,-0.443060
1.169000,-0.399237
1.199000,-0.360690
1.229000,-0.326673
1.259000,-0.296563
1.289000,-0.269833
1.319000,-0.246039
1.349000,-0.224801
1.379000,-0.205797
1.409000,-0.188751
1.439000,-0.173426
1.469000,-0.159617
1.499000,-0.147148
1.501000,-0.147148
