x,y
-1.001000,0.999000
-0.981000,0.979198
-0.961000,0.959392
-0.941000,0.939582
-0.921000,0.919767
-0.901000,0.899949
-0.881000,0.880126
-0.861000,0.860298
-0.841000,0.840466
-0.821000,0.820629
-0.801000,0.800787
-0.781000,0.780940
-0.761000,0.761089
-0.741000,0.741232
-0.721000,0.721369
-0.701000,0.701501
-0.681000,0.681628
-0.661000,0.661748
-0.641000,0.641863
-0.621000,0.621971
-0.601000,0.602073
-0.581000,0.582168
-0.561000,0.562256
-0.541000,0.542338
-0.521000,0.522412
-0.501000,0.502478
-0.481000,0.482536
-0.461000,0.462589
-0.441000,0.443135
-0.421000,0.425365
-0.401000,0.409939
-0.381000,0.397057
-0.361000,0.386638
-0.341000,0.378446
-0.321000,0.372172
-0.301000,0.367490
-0.281000,0.364087
-0.261000,0.361682
-0.241000,0.360032
-0.221000,0.358939
-0.201000,0.358243
-0.181000,0.357819
-0.161000,0.357575
-0.141000,0.357444
-0.121000,0.357380
-0.101000,0.357352
-0.081000,0.357341
-0.061000,0.357338
-0.041000,0.357338
-0.021000,0.357338
0.021000,0.357338
0.041000,0.357338
0.061000,0.357338
0.081000,0.357341
0.101000,0.357352
0.121000,0.357380
0.141000,0.357444
0.161000,0.357575
0.181000,0.357819
0.201000,0.358243
0.221000,0.358939
0.241000,0.360032
0.261000,0.361682
0.281000,0.364087
0.301000,0.367490
0.321000,0.372172
0.341000,0.378446
0.361000,0.386638
0.381000,0.397057
0.401000,0.409939
0.421000,0.425365
0.441000,0.443135
0.461000,0.462589
0.481000,0.482536
0.501000,0.502478
0.521000,0.522412
0.541000,0.542338
0.561000,0.562256
0.581000,0.582168
0.601000,0.602073
0.621000,0.621971
0.641000,0.641863
0.661000,0.661748
0.681000,0.681628
0.701000,0.701501
0.721000,0.721369
0.741000,0.741232
0.761000,0.761089
0.781000,0.780940
0.801000,0.800787
0.821000,0.820629
0.841000,0.840466
0.861000,0.860298
0.881000,0.880126
0.901000,0.899949
0.921000,0.919767
0.941000,0.939582
0.961000,0.959392
0.981000,0.979198
1.001000,0.999000
