x,y
-1.000000,12.000000
-0.980000,11.524800
-0.960000,11.059201
-0.940000,10.603200
-0.920000,10.156800
-0.900000,9.720001
-0.880000,9.292800
-0.860000,8.875200
-0.840000,8.467201
-0.820000,8.068800
-0.800000,7.680000
-0.780000,7.300800
-0.760000,6.931200
-0.740000,6.571200
-0.720000,6.220799
-0.700000,5.880000
-0.680000,5.548800
-0.660000,5.227200
-0.640000,4.915200
-0.620000,4.612800
-0.600000,4.320000
-0.580000,4.036800
-0.560000,3.763200
-0.540000,3.499200
-0.520000,3.244800
-0.500000,3.000000
-0.480000,2.764800
-0.460000,2.539200
-0.440000,2.323200
-0.420000,2.116800
-0.400000,1.920000
-0.380000,1.732800
-0.360000,1.555200
-0.340000,1.387200
-0.320000,1.228800
-0.300000,1.080000
-0.280000,0.940800
-0.260000,0.811200
-0.240000,0.691200
-0.220000,0.580800
-0.200000,0.480000
-0.180000,0.388800
-0.160000,0.307200
-0.140000,0.235200
-0.120000,0.172800
-0.100000,0.120000
-0.080000,0.076800
-0.060000,0.043200
-0.040000,0.019200
-0.020000,0.004800
0.000000,0.000000
0.020000,0.004800
0.040000,0.019200
0.060000,0.043200
0.080000,0.076800
0.100000,0.120000
0.120000,0.172800
0.140000,0.235200
0.160000,0.307200
0.180000,0.388800
0.200000,0.480000
0.220000,0.580800
0.240000,0.691200
0.260000,0.811200
0.280000,0.940800
0.300000,1.080000
0.320000,1.228800
0.340000,1.387200
0.360000,1.555200
0.380000,1.732800
0.400000,1.920000
0.420000,2.116800
0.440000,2.323200
0.460000,2.539200
0.480000,2.764800
0.500000,3.000000
0.520000,3.244800
0.540000,3.499200
0.560000,3.763200
0.580000,4.036800
0.600000,4.320000
0.620000,4.612800
0.640000,4.915200
0.660000,5.227200
0.680000,5.548800
0.700000,5.880000
0.720000,6.220799
0.740000,6.571200
0.760000,6.931200
0.780000,7.300800
0.800000,7.680000
0.820000,8.068800
0.840000,8.467201
0.860000,8.875200
0.880000,9.292800
0.900000,9.720001
0.920000,10.156800
0.940000,10.603200
0.960000,11.059201
0.980000,11.524800
1.000000,12.000000
