x,y
-1.001000,3336.898043
-0.981000,3168.332283
-0.961000,3062.780688
-0.941000,2932.521353
-0.921000,2496.615410
-0.901000,1217.490136
-0.881000,-535.396154
-0.879000,-535.396154
-0.859000,585.435839
-0.839567,706.984249
-0.821000,660.979977
-0.801000,613.785597
-0.781000,568.893003
-0.761000,526.244428
-0.741000,485.782511
-0.721000,447.449663
-0.701000,411.188427
-0.681000,376.941060
-0.661000,344.650173
-0.641000,314.258263
-0.621000,285.707591
-0.601000,258.940782
-0.581000,233.900285
-0.561000,210.528455
-0.541000,188.767823
-0.521000,168.560888
-0.501000,149.850000
-0.481000,132.577702
-0.461000,117.434506
-0.459000,117.434506
-0.440402,206.463742
-0.421000,-11.467060
-0.419000,-11.467060
-0.399000,5.062717
-0.379000,57.902521
-0.359468,74.961241
-0.341000,70.040003
-0.321000,57.002958
-0.301000,43.468916
-0.281000,31.923982
-0.261000,22.849757
-0.241000,16.019609
-0.221000,11.018734
-0.201000,7.432438
-0.181000,4.905440
-0.161000,3.153650
-0.141000,1.959313
-0.121000,1.160824
-0.101000,0.641000
-0.081000,0.317223
-0.061000,0.130563
-0.041000,0.037572
-0.021000,0.003803
-0.001000,-0.001000
0.019000,-0.005797
0.039000,-0.039228
0.059000,-0.128635
0.079000,-0.297149
0.099000,-0.558792
0.119000,-0.911544
0.139000,-1.328569
0.159000,-1.745889
0.179000,-2.048974
0.199000,-2.056060
0.201000,-2.056060
0.221000,-1.499278
0.241000,-0.007784
0.261000,2.897681
0.281000,7.770245
0.301000,15.061705
0.321000,24.568108
0.341000,33.939677
0.359106,35.190048
0.379000,10.764737
0.399000,-57.992927
0.419000,-92.868898
0.421000,-92.868898
0.440384,154.082991
0.459000,48.609540
0.461000,48.609540
0.481000,61.580544
0.501000,78.671250
0.521000,99.544254
0.541000,124.841359
0.561000,155.283095
0.581000,191.674378
0.601000,234.911039
0.621000,285.986907
0.641000,345.999862
0.661000,416.159224
0.681000,497.793791
0.701000,592.358099
0.721000,701.440575
0.741000,826.773044
0.761000,970.236508
0.781000,1133.871228
0.801000,1319.884488
0.821000,1530.661491
0.839591,1751.999424
0.859000,1201.368386
0.879000,-7944.091172
0.881000,-7944.091172
0.901000,-4721.833385
0.921000,73.004230
0.941000,2270.582741
0.961000,2927.985821
0.980664,3021.572578
0.999000,3003.953489
1.001000,3003.953489
