x,y
0.000000,0.000000
0.010000,0.000151
0.020000,0.000302
0.030000,0.000453
0.040000,0.000604
0.050000,0.000755
0.060000,0.000906
0.070000,0.001057
0.080000,0.001208
0.090000,0.001359
0.100000,0.001510
0.110000,0.001661
0.120000,0.001812
0.130000,0.001963
0.140000,0.002115
0.150000,0.002266
0.160000,0.002417
0.170000,0.002568
0.180000,0.002720
0.190000,0.002871
0.200000,0.003022
0.210000,0.003174
0.220000,0.003325
0.230000,0.003477
0.240000,0.003628
0.250000,0.003780
0.260000,0.003931
0.270000,0.004083
0.280000,0.004234
0.290000,0.004386
0.300000,0.004538
0.310000,0.004689
0.320000,0.004841
0.330000,0.004993
0.340000,0.005145
0.350000,0.005296
0.360000,0.005448
0.370000,0.005600
0.380000,0.005752
0.390000,0.005904
0.400000,0.006056
0.410000,0.006208
0.420000,0.006360
0.430000,0.006512
0.440000,0.006664
0.450000,0.006816
0.460000,0.006968
0.470000,0.007120
0.480000,0.007272
0.490000,0.007425
0.500000,0.007577
0.510000,0.007680
0.520000,0.007783
0.530000,0.007888
0.540000,0.007995
0.550000,0.008102
0.560000,0.008211
0.570000,0.008322
0.580000,0.008433
0.590000,0.008546
0.600000,0.008660
0.610000,0.008776
0.620000,0.008892
0.630000,0.009011
0.640000,0.009130
0.650000,0.009251
0.660000,0.009374
0.670000,0.009498
0.680000,0.009623
0.690000,0.009750
0.700000,0.009878
0.710000,0.010008
0.720000,0.010139
0.730000,0.010272
0.740000,0.010406
0.750000,0.010542
0.760000,0.010679
0.770000,0.010818
0.780000,0.010959
0.790000,0.011101
0.800000,0.011245
0.810000,0.011390
0.820000,0.011537
0.830000,0.011686
0.840000,0.011837
0.850000,0.011989
0.860000,0.012143
0.870000,0.012299
0.880000,0.012456
0.890000,0.012615
0.900000,0.012776
0.910000,0.012939
0.920000,0.013104
0.930000,0.013270
0.940000,0.013439
0.950000,0.013609
0.960000,0.013781
0.970000,0.013955
0.980000,0.014131
0.990000,0.014309
1.000000,0.014489
