x,y
-0.001000,0.001000
0.009000,0.011740
0.019000,0.022477
0.029000,0.033210
0.039000,0.043939
0.049000,0.054664
0.059000,0.065386
0.069000,0.076104
0.079000,0.086819
0.089000,0.097530
0.099000,0.108237
0.109000,0.118941
0.119000,0.129641
0.129000,0.140338
0.139000,0.151030
0.149000,0.161720
0.159000,0.172405
0.169000,0.183087
0.179000,0.193765
0.189000,0.204440
0.199000,0.215111
0.209000,0.225779
0.219000,0.236442
0.229000,0.247103
0.239000,0.257759
0.249000,0.268412
0.259000,0.279062
0.269000,0.289707
0.279000,0.300349
0.289000,0.310988
0.299000,0.321623
0.309000,0.332254
0.319000,0.342882
0.329000,0.353506
0.339000,0.364127
0.349000,0.374744
0.359000,0.385357
0.369000,0.395967
0.379000,0.406573
0.389000,0.417176
0.399000,0.427775
0.409000,0.438370
0.419000,0.448962
0.429000,0.459550
0.439000,0.470135
0.449000,0.480716
0.459000,0.491293
0.469000,0.501867
0.479000,0.512438
0.489000,0.523005
0.499000,0.533568
0.509000,0.539718
0.519000,0.545949
0.529000,0.552262
0.539000,0.558657
0.549000,0.565136
0.559000,0.571700
0.569000,0.578351
0.579000,0.585089
0.589000,0.591916
0.599000,0.598834
0.609000,0.605843
0.619000,0.612945
0.629000,0.620142
0.639000,0.627434
0.649000,0.634823
0.659000,0.642311
0.669000,0.649899
0.679000,0.657588
0.689000,0.665380
0.699000,0.673277
0.709000,0.681280
0.719000,0.689391
0.729000,0.697610
0.739000,0.705941
0.749000,0.714384
0.759000,0.722942
0.769000,0.731615
0.779000,0.740407
0.789000,0.749317
0.799000,0.758349
0.809000,0.767504
0.819000,0.776784
0.829000,0.786191
0.839000,0.795726
0.849000,0.805392
0.859000,0.815191
0.869000,0.825125
0.879000,0.835195
0.889000,0.845405
0.899000,0.855755
0.909000,0.866248
0.919000,0.876887
0.929000,0.887673
0.939000,0.898609
0.949000,0.909698
0.959000,0.920940
0.969000,0.932340
0.979000,0.943898
0.989000,0.955619
0.999000,0.967504
1.001000,0.967504
