x,y
-0.001000,1.001000
1999999.999000,1.001000
2999999.999000,2.002000
4999999.999000,2.002000
5999999.999000,3.003000
6999999.999000,3.003000
7999999.999000,4.004000
9999999.999000,4.004000
10999999.999000,5.005000
12999999.999000,5.005000
13999999.999000,6.006000
14999999.999000,6.006000
15999999.999000,7.007000
17999999.999000,7.007000
18999999.999000,8.008000
20999999.999000,8.008000
21999999.999000,9.009000
22999999.999000,9.009000
23999999.999000,10.010000
25999999.999000,10.010000
26999999.999000,11.011000
27999999.999000,11.011000
28999999.999000,12.012000
31000000.001000,12.012000
32000000.001000,1.001000
33999999.999000,1.001000
34999999.999000,2.002000
35999999.999000,2.002000
36999999.999000,3.003000
38999999.999000,3.003000
39999999.999000,4.004000
40999999.999000,4.004000
41999999.999000,5.005000
43999999.999000,5.005000
44999999.999000,6.006000
46999999.999000,6.006000
47999999.999000,7.007000
48999999.999000,7.007000
49999999.999000,8.008000
51999999.999000,8.008000
52999999.999000,9.009000
54999999.999000,9.009000
55999999.999000,10.010000
56999999.999000,10.010000
57999999.999000,11.011000
59999999.999000,11.011000
60999999.999000,12.012000
63000000.001000,12.012000
64000000.001000,1.001000
64999999.999000,1.001000
65999999.999000,2.002000
67999999.999000,2.002000
68999999.999000,3.003000
69999999.999000,3.003000
70999999.999000,4.004000
72999999.999000,4.004000
73999999.999000,5.005000
75999999.999000,5.005000
76999999.999000,6.006000
77999999.999000,6.006000
78999999.999000,7.007000
80999999.999000,7.007000
81999999.999000,8.008000
83999999.999000,8.008000
84999999.999000,9.009000
85999999.999000,9.009000
86999999.999000,10.010000
88999999.999000,10.010000
89999999.999000,11.011000
91999999.999000,11.011000
92999999.999000,12.012000
94000000.001000,12.012000
95000000.001000,1.001000
96999999.999000,1.001000
97999999.999000,2.002000
98999999.999000,2.002000
99999999.999000,3.003000
100000000.001000,3.003000
