x,y
0,0
864,0
1728,0
2592,0
3456,0
4320,0
5184,0
6048.000000000001,0
6912,0
7776,0
8640,1
9504,0.2
10368,0.6
11232,0.6
12096,0.2000000000000606
12960,1
13824,0.2
14688,0.6000000000000606
15552,0.6
16416,0.2
17280,1
18144,0.2
19008,0.6
19872,0.6
20736,0.2
21600,1
22464,0.2
23328,0.6
24192,0.5999999999998787
25056,0.2
25920,1
26784,0.2
27648,0.6
28512,0.6
29376,0.2000000000001213
30240,0.9999999999998788
31104,0.2
31968,0.6
32832,0.6
33696,0.2
34560,1
35424,0.2
36288,0.6
37152,0.6
38016,0.2
38880,1
39744,0.2
40608,0.6
41472,0.6
42336,0.2
43200,1
44064,0.2
44928,0
45792,0
46656,0
47520.00000000001,0
48384.00000000001,0
49247.99999999999,0
50112,0
50976,0
51840,0
52704,0
53568,0
54432,0
55296,0
56160,0
57024,0
57888,0
58752.00000000001,0
59615.99999999999,0
60479.99999999999,0
61344,0
62208,0
63072,0
63936,0
64800,0
65664,0
66528,0
67392,0
68256,0
69120,0
69984,0
70848,0
71712,0
72576,0
73440,0
74304,0
75168,0
76032,0
76896,0
77760,0
78624,0
79488,0
80352,0
81216,0
82080,0
82944,0
83808,0
84672,0
85536,0
86400,0
