x,y
0,0
8640,6923.192764306645
17280,6917.555229687503
25920,6855.469692856983
34560,6947.905252768905
43200,6979.847793151537
51840,7070.462692068968
60480.00000000001,6983.694771035975
69120,6966.596670695057
77760,6966.039418882585
86400,6963.636347656251
95040,6963.02852010266
103680,6966.176533339429
112320,6856.924348936142
120960,5444.087916800958
129600,0
138240,0
146880,1044.682514814948
155520,7886.522984367419
164160,7778.670511740769
172800,7707.891768066406
181440,7655.4464968589
190080,7609.536712004614
198720,5442.327971826557
207360,0
216000,0
224640,0
233280,0
241920,8113.672137446169
250560,8578.729381877238
259200,8416.998285033898
267840,8347.391897253045
276480,8209.085810058594
285120,8121.350041143052
293760,7458.420671705727
302400,0
311040,0
319680,0
328320,8681.564396838396
336960,8574.848530592652
345600,8478.396101419943
354240,8337.33482699173
362880,8230.712796679689
371520,8323.396816031182
380160,7672.762741364603
388800,0
397440,0
406080,0
414720,8409.251819269193
423360,8655.009083789555
432000,8524.562573573679
440640,8404.788947566965
449280,8293.478625585936
457920,8026.37508474946
466560.0000000001,6893.670826291048
475200.0000000001,1126.004859374912
483840.0000000001,0
492479.9999999999,1238.727913160483
501119.9999999999,8577.779172529097
509760,8519.520264746094
518400,8400.211138391111
527040,8290.422046103089
535680,8189.106311914064
544320,8049.551525962045
552960,6652.137745076262
561600,6274.59812109375
570240,2071.346047735592
578880,3635.493052712995
587520,8250.712244960268
596160,8153.531347118498
604800,8061.401711840883
613440,7976.805434338828
622080,7898.744292773437
630720,7834.387794751486
639360,5638.731134623363
648000,0
656640,0
665280,0
673920,8884.37718340157
682560,8522.665590495315
691200,8412.884910364704
699840,8302.094501556398
708480,8198.285837890624
717120,8011.167119863409
725760,4705.806752370036
734400,0
743040,0
751680,0
760320,8584.195808128394
768960,8725.410119126496
777600,8589.380345963429
786240,8464.440986223002
794880,8349.102725390627
803520,8085.171842009819
812160,6132.626247939799
820800,0
829440,0
838080,0
846720,8669.052057038025
855360,8708.803908777887
864000,8574.697646484376
